TEMP_CH1,ECG_CH2,Freq,Channels,File,t,EDA_CH3,Task
32160,34268,1000,2,0,44580.0,,
32636,33556,1000,2,0,44640.0,,
32680,34168,1000,2,0,44700.0,,
31940,32472,1000,2,0,44760.0,,
31576,31436,1000,2,0,44820.0,,
31444,32868,1000,2,0,44880.0,,
31648,33016,1000,2,0,44940.0,,
31970,32076,1000,2,0,45000.0,,
32132,32896,1000,2,0,45060.0,,
32712,32704,1000,2,0,45120.0,,
32640,30066,1000,2,0,45180.0,,
32288,32532,1000,2,0,45240.0,,
32060,33016,1000,2,0,45300.0,,
32336,33576,1000,2,0,45360.0,,
32536,29252,1000,2,0,45420.0,,
32560,32684,1000,2,0,45480.0,,
32768,32944,1000,2,0,45540.0,,
32800,32888,1000,2,0,45600.0,,
32728,32552,1000,2,0,45660.0,,
32736,32272,1000,2,0,45720.0,,
32224,33124,1000,2,0,45780.0,,
32380,33408,1000,2,0,45840.0,,
32312,33228,1000,2,0,45900.0,,
32304,32904,1000,2,0,45960.0,,
32432,32320,1000,2,0,46020.0,,
32308,32236,1000,2,0,46080.0,,
32560,32508,1000,2,0,46140.0,,
32680,31484,1000,2,0,46200.0,,
32732,31592,1000,2,0,46260.0,,
32498,33408,1000,2,0,46320.0,,
32320,32416,1000,2,0,46380.0,,blankScreen_00
32274,31776,1000,2,0,46440.0,,blankScreen_00
32256,32864,1000,2,0,46500.0,,blankScreen_00
31648,34492,1000,2,0,46560.0,,BP_00
31520,31448,1000,2,0,46620.0,,BP_00
32596,30476,1000,2,0,46680.0,,
32104,32896,1000,2,0,46740.0,,
31956,33048,1000,2,0,46800.0,,
31550,31456,1000,2,0,46860.0,,
31996,31842,1000,2,0,46920.0,,Exposure
32336,32512,1000,2,0,46980.0,,Exposure
32896,46400,1000,2,0,47040.0,,Exposure
33268,33284,1000,2,0,47100.0,,Exposure
32248,33516,1000,2,0,47160.0,,passiveViewing_01
32796,32920,1000,2,0,47220.0,,passiveViewing_01
33292,32840,1000,2,0,47280.0,,passiveViewing_01
33422,33860,1000,2,0,47340.0,,passiveViewing_01
32688,33348,1000,2,0,47400.0,,passiveViewing_01
32560,32472,1000,2,0,47460.0,,passiveViewing_01
32680,33128,1000,2,0,47520.0,,passiveViewing_01
32752,32848,1000,2,0,47580.0,,passiveViewing_01
32948,33254,1000,2,0,47640.0,,passiveViewing_01
33044,33036,1000,2,0,47700.0,,passiveViewing_01
33068,29928,1000,2,0,47760.0,,passiveViewing_01
33024,28378,1000,2,0,47820.0,,passiveViewing_01
33020,31682,1000,2,0,47880.0,,passiveViewing_01
33040,34500,1000,2,0,47940.0,,passiveViewing_01
32982,30192,1000,2,0,48000.0,,passiveViewing_01
32976,33200,1000,2,0,48060.0,,blankScreen_01
33102,31096,1000,2,0,48120.0,,blankScreen_01
33016,31372,1000,2,0,48180.0,,blankScreen_01
33124,32776,1000,2,0,48240.0,,
32560,33524,1000,2,0,48300.0,,BP_01
32280,38540,1000,2,0,48360.0,,
30272,32448,1000,2,0,48420.0,,
30106,32236,1000,2,0,48480.0,,
29988,32804,1000,2,0,48540.0,,
29948,32300,1000,2,0,48600.0,,
29920,33082,1000,2,0,48660.0,,
30044,32844,1000,2,0,48720.0,,
29840,32316,1000,2,0,48780.0,,
29880,32988,1000,2,0,48840.0,,
29840,53584,1000,2,0,48900.0,,
29816,33056,1000,2,0,48960.0,,
29806,32786,1000,2,0,49020.0,,
31864,32476,1000,2,0,49080.0,,
32476,32304,1000,2,0,49140.0,,
32776,32520,1000,2,0,49200.0,,
32880,32348,1000,2,0,49260.0,,blankScreen_02
32640,32896,1000,2,0,49320.0,,blankScreen_02
32668,32848,1000,2,0,49380.0,,blankScreen_02
32676,35752,1000,2,0,49440.0,,BP_02
32800,32920,1000,2,0,49500.0,,BP_02
31284,31776,1000,2,0,49560.0,,
30912,33600,1000,2,0,49620.0,,
30880,32396,1000,2,0,49680.0,,
31096,31772,1000,2,0,49740.0,,
31056,33216,1000,2,0,49800.0,,
31040,33300,1000,2,0,49860.0,,
31000,31976,1000,2,0,49920.0,,
31456,32336,1000,2,0,49980.0,,
31352,33422,1000,2,0,50040.0,,
31328,33988,1000,2,0,50100.0,,
31680,34392,1000,2,0,50160.0,,
32816,31824,1000,2,0,50220.0,,
33064,33312,1000,2,0,50280.0,,
33120,33130,1000,2,0,50340.0,,
33076,34328,1000,2,0,50400.0,,
33076,31720,1000,2,0,50460.0,,
33100,32160,1000,2,0,50520.0,,
32848,32768,1000,2,0,50580.0,,
33112,33752,1000,2,0,50640.0,,
33368,32584,1000,2,0,50700.0,,
32332,32874,1000,2,0,50760.0,,
33292,29620,1000,2,0,50820.0,,
32936,32280,1000,2,0,50880.0,,
