TEMP_CH1,ECG_CH2,Freq,Channels,File,t,Task
31024,34082,1000,2,0,45060.0,
29404,32536,1000,2,0,45120.0,
28640,35120,1000,2,0,45180.0,
28568,33352,1000,2,0,45240.0,
28432,34276,1000,2,0,45300.0,
28296,34396,1000,2,0,45360.0,
28106,34588,1000,2,0,45420.0,
28056,32184,1000,2,0,45480.0,
27973,34152,1000,2,0,45540.0,
27896,34272,1000,2,0,45600.0,
27837,32310,1000,2,0,45660.0,
27780,34208,1000,2,0,45720.0,
27680,31932,1000,2,0,45780.0,
31472,31804,1000,2,0,45840.0,
31576,32484,1000,2,0,45900.0,
31552,31272,1000,2,0,45960.0,
30788,32752,1000,2,0,46020.0,
29664,31744,1000,2,0,46080.0,
29282,34430,1000,2,0,46140.0,
29590,32184,1000,2,0,46200.0,
29928,32888,1000,2,0,46260.0,
29409,34072,1000,2,0,46320.0,
29352,32884,1000,2,0,46380.0,
28986,31312,1000,2,0,46440.0,
28804,31960,1000,2,0,46500.0,
28700,31888,1000,2,0,46560.0,
28668,32544,1000,2,0,46620.0,
28610,32984,1000,2,0,46680.0,
28560,31996,1000,2,0,46740.0,
28556,33596,1000,2,0,46800.0,blankScreen_00
28356,32562,1000,2,0,46860.0,blankScreen_00
28421,34724,1000,2,0,46920.0,blankScreen_00
29368,32636,1000,2,0,46980.0,BP_00
29472,32872,1000,2,0,47040.0,BP_00
28968,18092,1000,2,0,47100.0,
29478,29508,1000,2,0,47160.0,
28896,34464,1000,2,0,47220.0,Exposure
28672,32532,1000,2,0,47280.0,Exposure
28544,34028,1000,2,0,47340.0,Exposure
29020,30654,1000,2,0,47400.0,Exposure
30284,34430,1000,2,0,47460.0,passiveViewing_01
28768,33156,1000,2,0,47520.0,passiveViewing_01
28460,32636,1000,2,0,47580.0,passiveViewing_01
28324,40500,1000,2,0,47640.0,passiveViewing_01
28208,33874,1000,2,0,47700.0,passiveViewing_01
28156,33120,1000,2,0,47760.0,passiveViewing_01
28128,34316,1000,2,0,47820.0,passiveViewing_01
28112,34784,1000,2,0,47880.0,passiveViewing_01
28181,32092,1000,2,0,47940.0,passiveViewing_01
28170,31430,1000,2,0,48000.0,passiveViewing_01
28172,31954,1000,2,0,48060.0,passiveViewing_01
28196,33660,1000,2,0,48120.0,passiveViewing_01
28229,39456,1000,2,0,48180.0,passiveViewing_01
28200,32392,1000,2,0,48240.0,passiveViewing_01
28184,32504,1000,2,0,48300.0,BP_01
28236,32992,1000,2,0,48360.0,BP_01
27960,34292,1000,2,0,48420.0,
28034,30400,1000,2,0,48480.0,
28044,34058,1000,2,0,48540.0,
28044,30456,1000,2,0,48600.0,
28048,34404,1000,2,0,48660.0,
28052,35774,1000,2,0,48720.0,
28134,31824,1000,2,0,48780.0,
28152,33792,1000,2,0,48840.0,
28228,33412,1000,2,0,48900.0,
28260,34848,1000,2,0,48960.0,
28392,35092,1000,2,0,49020.0,
28408,33992,1000,2,0,49080.0,
28424,31704,1000,2,0,49140.0,
28426,32816,1000,2,0,49200.0,
28416,33136,1000,2,0,49260.0,blankScreen_02
28426,32396,1000,2,0,49320.0,blankScreen_02
28496,32756,1000,2,0,49380.0,blankScreen_02
28520,34880,1000,2,0,49440.0,
28016,31572,1000,2,0,49500.0,BP_02
27688,34297,1000,2,0,49560.0,
27736,44800,1000,2,0,49620.0,
27740,31344,1000,2,0,49680.0,
27712,34828,1000,2,0,49740.0,
27912,35292,1000,2,0,49800.0,
28256,33441,1000,2,0,49860.0,
28328,31488,1000,2,0,49920.0,
28400,34232,1000,2,0,49980.0,
28560,31192,1000,2,0,50040.0,
28612,32056,1000,2,0,50100.0,
28896,21992,1000,2,0,50160.0,
28760,36514,1000,2,0,50220.0,
28684,39076,1000,2,0,50280.0,
28876,33688,1000,2,0,50340.0,
28776,31284,1000,2,0,50400.0,
28232,38730,1000,2,0,50460.0,
28045,35256,1000,2,0,50520.0,
27996,33320,1000,2,0,50580.0,
27978,32784,1000,2,0,50640.0,
27944,32004,1000,2,0,50700.0,
27924,34136,1000,2,0,50760.0,
27914,39462,1000,2,0,50820.0,
27876,34948,1000,2,0,50880.0,
27568,32652,1000,2,0,50940.0,
27456,32744,1000,2,0,51000.0,
27618,32688,1000,2,0,51060.0,
28160,34568,1000,2,0,51120.0,
27357,32176,1000,2,0,51180.0,blankScreen_03
27228,33880,1000,2,0,51240.0,blankScreen_03
27816,31876,1000,2,0,51300.0,blankScreen_03
28053,31664,1000,2,0,51360.0,BP_03
27984,32720,1000,2,0,51420.0,
28504,32676,1000,2,0,51480.0,
29044,32642,1000,2,0,51540.0,
29188,35156,1000,2,0,51600.0,
