TEMP_CH1,ECG_CH2,Freq,Channels,File,t,EDA_CH3,Task
36553,32690,1000,2,0,33540.0,,
36484,32820,1000,2,0,33600.0,,
36428,30928,1000,2,0,33660.0,,
36444,33244,1000,2,0,33720.0,,
36452,34504,1000,2,0,33780.0,,
36404,38872,1000,2,0,33840.0,,
36404,33932,1000,2,0,33900.0,,
36408,32960,1000,2,0,33960.0,,
36364,33948,1000,2,0,34020.0,,
36336,32892,1000,2,0,34080.0,,
36336,31460,1000,2,0,34140.0,,
36044,32788,1000,2,0,34200.0,,
35904,30644,1000,2,0,34260.0,,
35908,32924,1000,2,0,34320.0,,
35920,33312,1000,2,0,34380.0,,
35952,31368,1000,2,0,34440.0,,
35916,33584,1000,2,0,34500.0,,
35876,33268,1000,2,0,34560.0,,
35880,32436,1000,2,0,34620.0,,
35780,32668,1000,2,0,34680.0,,
35720,30692,1000,2,0,34740.0,,
35744,38972,1000,2,0,34800.0,,
35808,31936,1000,2,0,34860.0,,
35756,33680,1000,2,0,34920.0,,
35800,32748,1000,2,0,34980.0,,
35844,32624,1000,2,0,35040.0,,
35760,32788,1000,2,0,35100.0,,
35592,33188,1000,2,0,35160.0,,
35624,30916,1000,2,0,35220.0,,
35696,33052,1000,2,0,35280.0,,
35788,32900,1000,2,0,35340.0,,
35660,31164,1000,2,0,35400.0,,
35560,32172,1000,2,0,35460.0,,
35412,32280,1000,2,0,35520.0,,
35264,32400,1000,2,0,35580.0,,
34820,31169,1000,2,0,35640.0,,
34576,34968,1000,2,0,35700.0,,
34392,31736,1000,2,0,35760.0,,
34312,33304,1000,2,0,35820.0,,
34604,32916,1000,2,0,35880.0,,
34700,33088,1000,2,0,35940.0,,
34672,32508,1000,2,0,36000.0,,
34644,31848,1000,2,0,36060.0,,
34668,32220,1000,2,0,36120.0,,
34624,30904,1000,2,0,36180.0,,
34636,34000,1000,2,0,36240.0,,
34528,32384,1000,2,0,36300.0,,
34540,32900,1000,2,0,36360.0,,
34600,32644,1000,2,0,36420.0,,
34576,32968,1000,2,0,36480.0,,
34556,33884,1000,2,0,36540.0,,
34588,31784,1000,2,0,36600.0,,blankScreen_00
34600,32180,1000,2,0,36660.0,,blankScreen_00
34660,32320,1000,2,0,36720.0,,blankScreen_00
34880,31728,1000,2,0,36780.0,,BP_00
34964,30896,1000,2,0,36840.0,,
35024,33088,1000,2,0,36900.0,,
34800,32456,1000,2,0,36960.0,,
34912,32808,1000,2,0,37020.0,,
34916,34240,1000,2,0,37080.0,,
34740,30944,1000,2,0,37140.0,,
34540,32186,1000,2,0,37200.0,,
33560,31872,1000,2,0,37260.0,,
31716,31232,1000,2,0,37320.0,,
31580,28532,1000,2,0,37380.0,,
30849,30548,1000,2,0,37440.0,,
30404,33676,1000,2,0,37500.0,,
30284,28920,1000,3,1,37740.0,607.0,
30282,29524,1000,3,1,37800.0,628.0,Exposure
30180,34000,1000,3,1,37860.0,625.0,Exposure
29924,31036,1000,3,1,37920.0,541.0,Exposure
29892,32751,1000,3,1,37980.0,573.0,Exposure
29936,32302,1000,3,1,38040.0,551.0,passiveViewing_01
29810,32506,1000,3,1,38100.0,686.0,passiveViewing_01
29764,32669,1000,3,1,38160.0,649.0,passiveViewing_01
29728,40756,1000,3,1,38220.0,580.0,passiveViewing_01
29682,32524,1000,3,1,38280.0,611.0,passiveViewing_01
29916,31772,1000,3,1,38340.0,610.0,passiveViewing_01
29966,33727,1000,3,1,38400.0,643.0,passiveViewing_01
29972,33560,1000,3,1,38460.0,563.0,passiveViewing_01
30048,33214,1000,3,1,38520.0,686.0,passiveViewing_01
29484,35724,1000,3,1,38580.0,576.0,passiveViewing_01
29212,32276,1000,3,1,38640.0,635.0,passiveViewing_01
29038,33645,1000,3,1,38700.0,540.0,passiveViewing_01
29020,31852,1000,3,1,38760.0,548.0,passiveViewing_01
28576,30562,1000,3,1,38820.0,526.0,passiveViewing_01
28625,30160,1000,3,1,38880.0,515.0,passiveViewing_01
28480,32971,1000,3,1,38940.0,490.0,passiveViewing_01
28300,32432,1000,3,1,39000.0,535.0,passiveViewing_01
28410,32564,1000,3,1,39060.0,616.0,blankScreen_01
28152,31436,1000,3,1,39120.0,570.0,blankScreen_01
28104,34345,1000,3,1,39180.0,530.0,blankScreen_01
28640,39153,1000,3,1,39240.0,596.0,BP_01
28440,32452,1000,3,1,39300.0,595.0,BP_01
28926,33384,1000,3,1,39360.0,600.0,
28914,31944,1000,3,1,39420.0,557.0,
28840,32929,1000,3,1,39480.0,555.0,
28684,31918,1000,3,1,39540.0,683.0,
28566,33870,1000,3,1,39600.0,514.0,
28532,33002,1000,3,1,39660.0,542.0,
28604,32572,1000,3,1,39720.0,531.0,
28969,31904,1000,3,1,39780.0,545.0,
29181,34561,1000,3,1,39840.0,557.0,
28978,31824,1000,3,1,39900.0,505.0,
28696,35004,1000,3,1,39960.0,635.0,
28636,32064,1000,3,1,40020.0,600.0,
28236,32032,1000,3,1,40080.0,608.0,
28228,32970,1000,3,1,40140.0,584.0,
28464,32316,1000,3,1,40200.0,590.0,
28592,33768,1000,3,1,40260.0,605.0,blankScreen_02
28740,33236,1000,3,1,40320.0,642.0,blankScreen_02
28368,32836,1000,3,1,40380.0,551.0,blankScreen_02
28213,32744,1000,3,1,40440.0,635.0,BP_02
28738,32720,1000,3,1,40500.0,593.0,
28672,32164,1000,3,1,40560.0,636.0,
28386,33204,1000,3,1,40620.0,619.0,
28296,32000,1000,3,1,40680.0,605.0,
28136,33130,1000,3,1,40740.0,596.0,
27840,32687,1000,3,1,40800.0,616.0,
27706,32128,1000,3,1,40860.0,572.0,
27708,31766,1000,3,1,40920.0,568.0,
27848,33324,1000,3,1,40980.0,568.0,
28044,33116,1000,3,1,41040.0,640.0,
28268,31911,1000,3,1,41100.0,556.0,
28193,33166,1000,3,1,41160.0,585.0,
28100,31500,1000,3,1,41220.0,625.0,
28143,32960,1000,3,1,41280.0,688.0,
27882,31360,1000,3,1,41340.0,337.0,
28368,32200,1000,3,1,41400.0,582.0,
28618,31404,1000,3,1,41460.0,603.0,
29232,32616,1000,3,1,41520.0,593.0,
29597,32583,1000,3,1,41580.0,685.0,
29716,31556,1000,3,1,41640.0,742.0,
29800,32156,1000,3,1,41700.0,739.0,
29802,31944,1000,3,1,41760.0,678.0,
30034,32896,1000,3,1,41820.0,677.0,blankScreen_03
29764,32197,1000,3,1,41880.0,690.0,blankScreen_03
29510,32760,1000,3,1,41940.0,686.0,blankScreen_03
29040,32100,1000,3,1,42000.0,729.0,BP_03
28868,40424,1000,3,1,42060.0,726.0,BP_03
28892,32316,1000,3,1,42120.0,906.0,
29233,32164,1000,3,1,42180.0,1088.0,
29630,31860,1000,3,1,42240.0,1195.0,
29870,31452,1000,3,1,42300.0,1367.0,
29952,33090,1000,3,1,42360.0,1407.0,blankScreen_04
29900,40208,1000,3,1,42420.0,1198.0,blankScreen_04
29832,32656,1000,3,1,42480.0,1343.0,blankScreen_04
29321,33188,1000,3,1,42540.0,1401.0,BP_04
28804,32742,1000,3,1,42600.0,1268.0,BP_04
28928,32780,1000,3,1,42660.0,1374.0,
29506,32834,1000,3,1,42720.0,1609.0,
29792,31116,1000,3,1,42780.0,1519.0,
29772,32108,1000,3,1,42840.0,1500.0,
29989,40884,1000,3,1,42900.0,1942.0,Exercise
29680,31796,1000,3,1,42960.0,2405.0,Exercise
30076,22024,1000,3,1,43020.0,1730.0,BP_05
30092,31020,1000,3,1,43080.0,1799.0,BP_05
29564,31121,1000,3,1,43140.0,1701.0,
29732,33196,1000,3,1,43200.0,1739.0,blankScreen_05
29124,32590,1000,3,1,43260.0,1385.0,blankScreen_05
28525,30924,1000,3,1,43320.0,1581.0,blankScreen_05
28776,33938,1000,3,1,43380.0,1369.0,BP_06
28360,33656,1000,3,1,43440.0,1298.0,BP_06
28880,32644,1000,3,1,43500.0,1470.0,
29102,31824,1000,3,1,43560.0,1621.0,
29192,32945,1000,3,1,43620.0,1555.0,
29282,28526,1000,3,1,43680.0,1660.0,
29600,33388,1000,3,1,43740.0,1578.0,
29582,33834,1000,3,1,43800.0,1610.0,
29190,31692,1000,3,1,43860.0,25.0,
