TEMP_CH1,ECG_CH2,EDA_CH3,Freq,Channels,File,t,Task
31750,32372,1155,1000,3,0,48240.0,blankScreen_04
31676,30964,1029,1000,3,0,48300.0,blankScreen_04
31424,32698,1137,1000,3,0,48360.0,blankScreen_04
31954,32838,1214,1000,3,0,48420.0,BP_04
32020,33566,1208,1000,3,0,48480.0,
31924,29160,1048,1000,3,0,48540.0,
31898,29951,1134,1000,3,0,48600.0,
31728,32162,1184,1000,3,0,48660.0,
32081,32532,1130,1000,3,0,48720.0,Exercise
35116,29874,1372,1000,3,0,48780.0,Exercise
34792,57162,2086,1000,3,0,48840.0,Exercise
34300,26718,2290,1000,3,0,48900.0,Exercise
34844,30336,2220,1000,3,0,48960.0,BP_05
34360,25735,1569,1000,3,0,49020.0,BP_05
32148,32498,1498,1000,3,0,49080.0,blankScreen_05
31874,33784,1334,1000,3,0,49140.0,blankScreen_05
31880,33839,1269,1000,3,0,49200.0,blankScreen_05
31850,31420,1230,1000,3,0,49260.0,
32052,28398,1118,1000,3,0,49320.0,BP_06
33248,32334,1159,1000,3,0,49380.0,
33192,34014,1228,1000,3,0,49440.0,
33140,64536,1259,1000,3,0,49500.0,
32090,32106,1250,1000,3,0,49560.0,
32108,27612,1295,1000,3,0,49620.0,
32228,28634,1250,1000,3,0,49680.0,
32088,33096,1299,1000,3,0,49740.0,
