EDA_CH1,CUSTOM/0.5/1.0/V_CH2,CUSTOM/0.5/1.0/V_CH3,Freq,Channels,File,t,Task
35872,38800,6272,1000,3,0,34200.0,
32608,26225,7196,1000,3,0,34260.0,
35973,34246,7646,1000,3,0,34320.0,
37152,33637,9031,1000,3,0,34380.0,
37272,32808,8353,1000,3,0,34440.0,
37280,32744,6744,1000,3,0,34500.0,
37280,31212,5689,1000,3,0,34560.0,
37264,33300,4881,1000,3,0,34620.0,
37232,32840,4301,1000,3,0,34680.0,
37226,32403,3674,1000,3,0,34740.0,
37180,35406,4357,1000,3,0,34800.0,
37148,33264,3752,1000,3,0,34860.0,
37128,32362,3479,1000,3,0,34920.0,
37120,28768,3010,1000,3,0,34980.0,
37104,33782,2740,1000,3,0,35040.0,
37092,35224,2475,1000,3,0,35100.0,
37056,34384,2398,1000,3,0,35160.0,
37032,35328,3008,1000,3,0,35220.0,
36992,33326,3941,1000,3,0,35280.0,
36960,38972,3754,1000,3,0,35340.0,
36954,32917,3817,1000,3,0,35400.0,
36580,32898,6127,1000,3,0,35460.0,
36640,29004,7525,1000,3,0,35520.0,
36672,32448,6874,1000,3,0,35580.0,
36664,34124,5751,1000,3,0,35640.0,
36644,32708,5328,1000,3,0,35700.0,
36636,35926,4908,1000,3,0,35760.0,
36578,32392,4491,1000,3,0,35820.0,
36556,34496,4168,1000,3,0,35880.0,
36528,34860,3717,1000,3,0,35940.0,
36496,33940,3576,1000,3,0,36000.0,
36512,35288,3411,1000,3,0,36060.0,
36444,49008,3101,1000,3,0,36120.0,
36440,28932,3383,1000,3,0,36180.0,
36428,29692,3106,1000,3,0,36240.0,
36412,32908,2947,1000,3,0,36300.0,
36376,33000,2774,1000,3,0,36360.0,
36344,34368,2606,1000,3,0,36420.0,
36392,35456,3155,1000,3,0,36480.0,blankScreen_00
36368,28472,2911,1000,3,0,36540.0,blankScreen_00
36382,36016,3054,1000,3,0,36600.0,blankScreen_00
36704,34026,2903,1000,3,0,36660.0,BP_00
36720,29288,4775,1000,3,0,36720.0,BP_00
36728,34892,4705,1000,3,0,36780.0,BP_00
36712,32321,6258,1000,3,0,36840.0,
36714,33220,6376,1000,3,0,36900.0,
36680,34924,5792,1000,3,0,36960.0,
36706,34566,7414,1000,3,0,37020.0,
36652,33492,5617,1000,3,0,37080.0,
36616,32792,4478,1000,3,0,37140.0,
36640,32034,6381,1000,3,0,37200.0,
36652,33632,5410,1000,3,0,37260.0,
36596,35194,6873,1000,3,0,37320.0,
36520,29578,6153,1000,3,0,37380.0,
36562,33456,5666,1000,3,0,37440.0,Exposure
36544,36564,4720,1000,3,0,37500.0,Exposure
36546,29688,4054,1000,3,0,37560.0,passiveViewing_01
36468,21846,3487,1000,3,0,37620.0,passiveViewing_01
36320,32740,3325,1000,3,0,37680.0,passiveViewing_01
36224,32700,3058,1000,3,0,37740.0,passiveViewing_01
36306,29448,2688,1000,3,0,37800.0,passiveViewing_01
36316,30056,2468,1000,3,0,37860.0,passiveViewing_01
36304,32549,2290,1000,3,0,37920.0,passiveViewing_01
36264,32470,2103,1000,3,0,37980.0,passiveViewing_01
36276,29804,2041,1000,3,0,38040.0,passiveViewing_01
36268,32696,1916,1000,3,0,38100.0,passiveViewing_01
36276,29145,1875,1000,3,0,38160.0,passiveViewing_01
36312,33114,1804,1000,3,0,38220.0,passiveViewing_01
36288,29776,1724,1000,3,0,38280.0,passiveViewing_01
36524,29840,1626,1000,3,0,38340.0,passiveViewing_01
36545,37226,1603,1000,3,0,38400.0,passiveViewing_01
36580,35020,1479,1000,3,0,38460.0,blankScreen_01
36484,29072,1595,1000,3,0,38520.0,blankScreen_01
36492,36008,1608,1000,3,0,38580.0,blankScreen_01
36428,46012,1627,1000,3,0,38640.0,BP_01
36428,43504,1671,1000,3,0,38700.0,BP_01
36408,30028,1688,1000,3,0,38760.0,
36376,33264,1597,1000,3,0,38820.0,
36368,32718,1453,1000,3,0,38880.0,
36346,33844,1443,1000,3,0,38940.0,
36332,29396,1314,1000,3,0,39000.0,
36328,31720,1248,1000,3,0,39060.0,
36316,36101,1248,1000,3,0,39120.0,
36297,32526,1238,1000,3,0,39180.0,
36288,34622,1174,1000,3,0,39240.0,
36286,32133,1190,1000,3,0,39300.0,
36310,32876,1109,1000,3,0,39360.0,
36276,28480,1140,1000,3,0,39420.0,
36256,32886,1116,1000,3,0,39480.0,
36222,29708,1129,1000,3,0,39540.0,
36192,29416,1012,1000,3,0,39600.0,
38072,28406,2173,1000,3,0,39660.0,blankScreen_02
38384,28070,3040,1000,3,0,39720.0,blankScreen_02
36613,33340,3939,1000,3,0,39780.0,blankScreen_02
36318,51018,4081,1000,3,0,39840.0,BP_02
36264,35494,3973,1000,3,0,39900.0,BP_02
36226,30330,3844,1000,3,0,39960.0,BP_02
36152,34312,3627,1000,3,0,40020.0,
36152,29517,3120,1000,3,0,40080.0,
36134,35948,2822,1000,3,0,40140.0,
36124,33364,2368,1000,3,0,40200.0,
36116,32548,2212,1000,3,0,40260.0,
36106,30092,1964,1000,3,0,40320.0,
36104,36300,1812,1000,3,0,40380.0,
36068,36812,1859,1000,3,0,40440.0,
36060,35166,1740,1000,3,0,40500.0,
36044,32720,1593,1000,3,0,40560.0,
36032,33012,1462,1000,3,0,40620.0,
36036,32600,1366,1000,3,0,40680.0,
36024,34532,1266,1000,3,0,40740.0,
36016,34116,2871,1000,3,0,40800.0,
36028,32296,2209,1000,3,0,40860.0,
36024,36412,2090,1000,3,0,40920.0,
36036,32868,1729,1000,3,0,40980.0,
36012,30390,1634,1000,3,0,41040.0,
35982,33732,1689,1000,3,0,41100.0,
35972,33800,1819,1000,3,0,41160.0,
35968,37296,1621,1000,3,0,41220.0,
35958,30113,1885,1000,3,0,41280.0,
35920,30376,2060,1000,3,0,41340.0,
35898,29284,4731,1000,3,0,41400.0,
35872,29636,4334,1000,3,0,41460.0,
35904,33024,3991,1000,3,0,41520.0,
35944,32706,5219,1000,3,0,41580.0,
35872,28838,4508,1000,3,0,41640.0,
35840,29417,4688,1000,3,0,41700.0,
35820,28572,5522,1000,3,0,41760.0,blankScreen_03
36276,27321,6782,1000,3,0,41820.0,blankScreen_03
36912,32916,5373,1000,3,0,41880.0,blankScreen_03
36844,28644,7120,1000,3,0,41940.0,BP_03
36830,26678,8376,1000,3,0,42000.0,
36868,32360,8484,1000,3,0,42060.0,
36884,36821,8534,1000,3,0,42120.0,
36916,33292,9790,1000,3,0,42180.0,
34820,31433,10428,1000,3,0,42240.0,
35748,34061,11330,1000,3,0,42300.0,blankScreen_04
35888,32675,10104,1000,3,0,42360.0,blankScreen_04
35896,33262,9444,1000,3,0,42420.0,blankScreen_04
35908,35988,9220,1000,3,0,42480.0,BP_04
35956,28436,9837,1000,3,0,42540.0,BP_04
35940,32642,11052,1000,3,0,42600.0,
35840,32239,10482,1000,3,0,42660.0,
35872,34244,9794,1000,3,0,42720.0,
35840,33188,9347,1000,3,0,42780.0,
35648,31205,12289,1000,3,0,42840.0,Exercise
36432,35612,11521,1000,3,0,42900.0,Exercise
35672,23664,10975,1000,3,0,42960.0,Exercise
35584,18336,16688,1000,3,0,43020.0,Exercise
35365,22945,24176,1000,3,0,43080.0,Exercise
35616,26032,29936,1000,3,0,43140.0,Exercise
35584,62568,37060,1000,3,0,43200.0,BP_05
36712,34180,41112,1000,3,0,43260.0,BP_05
36588,34436,32281,1000,3,0,43320.0,BP_05
36716,26732,31002,1000,3,0,43380.0,blankScreen_05
36716,32852,29076,1000,3,0,43440.0,blankScreen_05
36708,35780,28946,1000,3,0,43500.0,blankScreen_05
36736,27234,28330,1000,3,0,43560.0,BP_06
36745,37760,27870,1000,3,0,43620.0,BP_06
36904,33616,27289,1000,3,0,43680.0,
36986,28076,27160,1000,3,0,43740.0,
36882,27348,26158,1000,3,0,43800.0,
36856,29474,25698,1000,3,0,43860.0,
36948,33012,24488,1000,3,0,43920.0,
36944,29216,23972,1000,3,0,43980.0,
36876,28296,23388,1000,3,0,44040.0,
36812,34096,22116,1000,3,0,44100.0,
