EDA_CH1,CUSTOM/0.5/1.0/V_CH2,CUSTOM/0.5/1.0/V_CH3,Freq,Channels,File,t,Task
38138,32516,3110,1000,3,0,29160.0,
37996,39756,3767,1000,3,0,29220.0,
38074,30682,3572,1000,3,0,29280.0,
38080,30413,3242,1000,3,0,29340.0,
38052,32876,2752,1000,3,0,29400.0,
38044,30413,1802,1000,3,0,29460.0,
38028,33172,1556,1000,3,0,29520.0,
38004,34884,1439,1000,3,0,29580.0,
37982,32604,1425,1000,3,0,29640.0,
37964,35836,1450,1000,3,0,29700.0,
37936,32304,2438,1000,3,0,29760.0,
37932,29948,2335,1000,3,0,29820.0,
37942,31897,2066,1000,3,0,29880.0,
37912,32152,2217,1000,3,0,29940.0,
37884,31920,2054,1000,3,0,30000.0,
37860,32322,2250,1000,3,0,30060.0,
37864,35912,3802,1000,3,0,30120.0,
37828,36436,4629,1000,3,0,30180.0,
37766,32352,5059,1000,3,0,30240.0,
37700,30309,6533,1000,3,0,30300.0,
37636,31134,5668,1000,3,0,30360.0,
37648,31268,6656,1000,3,0,30420.0,
37616,27580,7295,1000,3,0,30480.0,
37568,27302,7036,1000,3,0,30540.0,
37556,62896,6644,1000,3,0,30600.0,
37548,30148,6147,1000,3,0,30660.0,
37454,31772,5965,1000,3,0,30720.0,
37410,32632,5465,1000,3,0,30780.0,
37404,31796,5089,1000,3,0,30840.0,
37400,31104,5631,1000,3,0,30900.0,
37376,33082,4509,1000,3,0,30960.0,
37320,34296,4458,1000,3,0,31020.0,
37328,32500,4960,1000,3,0,31080.0,
37308,30932,4532,1000,3,0,31140.0,
37308,33012,5225,1000,3,0,31200.0,blankScreen_00
37310,36856,4933,1000,3,0,31260.0,blankScreen_00
37252,35236,5989,1000,3,0,31320.0,blankScreen_00
37164,32544,7186,1000,3,0,31380.0,BP_00
37116,30284,7146,1000,3,0,31440.0,BP_00
37212,32638,6386,1000,3,0,31500.0,
37340,31348,5830,1000,3,0,31560.0,
37380,35568,6968,1000,3,0,31620.0,
37252,30952,5230,1000,3,0,31680.0,
37210,30712,4998,1000,3,0,31740.0,
37212,31720,5077,1000,3,0,31800.0,
37236,32626,6016,1000,3,0,31860.0,
37224,31860,7233,1000,3,0,31920.0,
37208,55840,8053,1000,3,0,31980.0,
36224,36618,9452,1000,3,0,32040.0,
33780,32068,6646,1000,3,0,32100.0,Exposure
31472,26780,6108,1000,3,0,32160.0,Exposure
30488,30766,5312,1000,3,0,32220.0,Exposure
30913,29428,4595,1000,3,0,32280.0,Exposure
34206,33085,6604,1000,3,0,32340.0,passiveViewing_01
35260,31996,6070,1000,3,0,32400.0,passiveViewing_01
35640,34372,6407,1000,3,0,32460.0,passiveViewing_01
34384,32336,6381,1000,3,0,32520.0,passiveViewing_01
32684,32928,5959,1000,3,0,32580.0,passiveViewing_01
33357,31464,5810,1000,3,0,32640.0,passiveViewing_01
34022,29359,5532,1000,3,0,32700.0,passiveViewing_01
34277,32244,5873,1000,3,0,32760.0,passiveViewing_01
34432,32912,5640,1000,3,0,32820.0,passiveViewing_01
34506,31796,5412,1000,3,0,32880.0,passiveViewing_01
34564,33592,5095,1000,3,0,32940.0,passiveViewing_01
34536,29720,5384,1000,3,0,33000.0,passiveViewing_01
34588,29364,5018,1000,3,0,33060.0,passiveViewing_01
34590,34782,4872,1000,3,0,33120.0,passiveViewing_01
32008,35254,4761,1000,3,0,33180.0,passiveViewing_01
30130,30892,5326,1000,3,0,33240.0,passiveViewing_01
29848,30758,5143,1000,3,0,33300.0,
29620,34624,7492,1000,3,0,33360.0,blankScreen_01
29476,32628,7268,1000,3,0,33420.0,blankScreen_01
29340,34068,7710,1000,3,0,33480.0,blankScreen_01
29320,35164,8034,1000,3,0,33540.0,BP_01
29953,36082,8392,1000,3,0,33600.0,
31244,31772,8772,1000,3,0,33660.0,
32001,31020,8564,1000,3,0,33720.0,
33020,28284,7353,1000,3,0,33780.0,
33445,30964,7305,1000,3,0,33840.0,
33672,31836,6274,1000,3,0,33900.0,
33812,35768,5625,1000,3,0,33960.0,
33844,32660,5484,1000,3,0,34020.0,
33876,26368,4790,1000,3,0,34080.0,
33896,32292,4613,1000,3,0,34140.0,
33868,32282,4398,1000,3,0,34200.0,
33956,33600,4146,1000,3,0,34260.0,
33996,26384,4002,1000,3,0,34320.0,
33984,27716,3814,1000,3,0,34380.0,
30728,32196,3846,1000,3,0,34440.0,
28664,30724,5219,1000,3,0,34500.0,blankScreen_02
28240,31740,4725,1000,3,0,34560.0,blankScreen_02
28048,29272,4382,1000,3,0,34620.0,blankScreen_02
28816,33156,6624,1000,3,0,34680.0,BP_02
28540,32624,6422,1000,3,0,34740.0,
28452,32532,7066,1000,3,0,34800.0,
28348,32098,7604,1000,3,0,34860.0,
28260,32884,6172,1000,3,0,34920.0,
28196,36664,5273,1000,3,0,34980.0,
28152,32132,6217,1000,3,0,35040.0,
28168,27560,5540,1000,3,0,35100.0,
28228,31096,5886,1000,3,0,35160.0,
28248,38404,5312,1000,3,0,35220.0,
28208,31093,5881,1000,3,0,35280.0,
28496,32420,5350,1000,3,0,35340.0,
28512,31710,7278,1000,3,0,35400.0,
28272,31632,6626,1000,3,0,35460.0,
34366,34460,9008,1000,3,0,35520.0,
36344,35636,9444,1000,3,0,35580.0,
32376,32856,8048,1000,3,0,35640.0,
31536,35756,7764,1000,3,0,35700.0,
31844,27984,7252,1000,3,0,35760.0,
31728,30372,6698,1000,3,0,35820.0,
31720,31432,6594,1000,3,0,35880.0,
33344,32660,7040,1000,3,0,35940.0,blankScreen_03
34314,32532,9586,1000,3,0,36000.0,blankScreen_03
34448,30708,9370,1000,3,0,36060.0,blankScreen_03
34554,35490,9301,1000,3,0,36120.0,BP_03
34257,32012,7988,1000,3,0,36180.0,BP_03
34788,26816,9801,1000,3,0,36240.0,
35126,33014,9980,1000,3,0,36300.0,
35448,30208,9769,1000,3,0,36360.0,
35197,32420,8864,1000,3,0,36420.0,blankScreen_04
35364,30224,7918,1000,3,0,36480.0,blankScreen_04
35412,30352,6896,1000,3,0,36540.0,blankScreen_04
35436,31665,6780,1000,3,0,36600.0,BP_04
35660,35496,6665,1000,3,0,36660.0,BP_04
35400,28660,8136,1000,3,0,36720.0,
35304,33222,7334,1000,3,0,36780.0,
35156,34018,7204,1000,3,0,36840.0,
34698,36568,9584,1000,3,0,36900.0,
34032,33760,9412,1000,3,0,36960.0,
33712,44172,11890,1000,3,0,37020.0,Exercise
33760,32096,11780,1000,3,0,37080.0,Exercise
33268,25900,12792,1000,3,0,37140.0,Exercise
32856,23992,14973,1000,3,0,37200.0,Exercise
32794,25924,14847,1000,3,0,37260.0,Exercise
32324,30012,15930,1000,3,0,37320.0,Exercise
32148,35246,14714,1000,3,0,37380.0,Exercise
31624,31526,20012,1000,3,0,37440.0,Exercise
31436,34276,21416,1000,3,0,37500.0,Exercise
31284,36316,21880,1000,3,0,37560.0,Exercise
31448,31772,23558,1000,3,0,37620.0,Exercise
32588,26500,25014,1000,3,0,37680.0,Exercise
32316,25216,26392,1000,3,0,37740.0,BP_05
29892,24808,28452,1000,3,0,37800.0,BP_05
29750,22336,27184,1000,3,0,37860.0,blankScreen_05
28504,31704,23524,1000,3,0,37920.0,blankScreen_05
28424,31142,22728,1000,3,0,37980.0,blankScreen_05
29124,27788,23697,1000,3,0,38040.0,BP_06
29932,36532,20942,1000,3,0,38100.0,BP_06
