EDA_CH1,ECG_CH2,Freq,Channels,File,t,TEMP_CH1,EDA_CH3,Task
31760.0,31114,1000,2,0,30600.0,,,
31480.0,31052,1000,2,0,30660.0,,,
31196.0,33304,1000,2,0,30720.0,,,
30956.0,32992,1000,2,0,30780.0,,,
30796.0,28804,1000,2,0,30840.0,,,
30700.0,35212,1000,2,0,30900.0,,,
30496.0,32848,1000,2,0,30960.0,,,
30244.0,29784,1000,2,0,31020.0,,,
30192.0,33996,1000,2,0,31080.0,,,
30136.0,28516,1000,2,0,31140.0,,,
30096.0,28936,1000,2,0,31200.0,,,
30052.0,33224,1000,2,0,31260.0,,,
30172.0,30432,1000,2,0,31320.0,,,
29684.0,34058,1000,2,0,31380.0,,,
29424.0,32700,1000,2,0,31440.0,,,
29324.0,32704,1000,2,0,31500.0,,,
29252.0,37028,1000,2,0,31560.0,,,
29228.0,31324,1000,2,0,31620.0,,,
29236.0,31877,1000,2,0,31680.0,,,
29216.0,31536,1000,2,0,31740.0,,,
29152.0,34112,1000,2,0,31800.0,,,
29304.0,32556,1000,2,0,31860.0,,,
29830.0,36744,1000,2,0,31920.0,,,
29956.0,32056,1000,2,0,31980.0,,,
29972.0,32941,1000,2,0,32040.0,,,
30000.0,30280,1000,2,0,32100.0,,,
29980.0,29008,1000,2,0,32160.0,,,
29952.0,29956,1000,2,0,32220.0,,,
29924.0,33034,1000,2,0,32280.0,,,
29886.0,32632,1000,2,0,32340.0,,,
36504.0,32896,1000,2,0,32400.0,,,
36316.0,32696,1000,2,0,32460.0,,,blankScreen_00
36032.0,28844,1000,2,0,32520.0,,,blankScreen_00
35872.0,32628,1000,2,0,32580.0,,,blankScreen_00
36912.0,37228,1000,2,0,32640.0,,,BP_00
40672.0,34676,1000,2,0,32700.0,,,BP_00
40488.0,29076,1000,2,0,32760.0,,,BP_00
38308.0,32072,1000,2,0,32820.0,,,BP_00
37352.0,32756,1000,2,0,32880.0,,,
36588.0,33576,1000,2,0,32940.0,,,
36164.0,28176,1000,2,0,33000.0,,,Exposure
35984.0,32952,1000,2,0,33060.0,,,Exposure
35824.0,29540,1000,2,0,33120.0,,,Exposure
35752.0,32368,1000,2,0,33180.0,,,passiveViewing_01
35556.0,34088,1000,2,0,33240.0,,,passiveViewing_01
35456.0,31884,1000,2,0,33300.0,,,passiveViewing_01
35408.0,33568,1000,2,0,33360.0,,,passiveViewing_01
35376.0,32160,1000,2,0,33420.0,,,passiveViewing_01
35336.0,37568,1000,2,0,33480.0,,,passiveViewing_01
35340.0,30278,1000,2,0,33540.0,,,passiveViewing_01
35296.0,32304,1000,2,0,33600.0,,,passiveViewing_01
35300.0,36672,1000,2,0,33660.0,,,passiveViewing_01
35296.0,37968,1000,2,0,33720.0,,,passiveViewing_01
35232.0,33034,1000,2,0,33780.0,,,passiveViewing_01
35196.0,33376,1000,2,0,33840.0,,,passiveViewing_01
35164.0,32752,1000,2,0,33900.0,,,passiveViewing_01
35160.0,33940,1000,2,0,33960.0,,,passiveViewing_01
35168.0,34220,1000,2,0,34020.0,,,passiveViewing_01
35140.0,33116,1000,2,0,34080.0,,,blankScreen_01
35120.0,32884,1000,2,0,34140.0,,,blankScreen_01
35104.0,30744,1000,2,0,34200.0,,,blankScreen_01
35252.0,32804,1000,2,0,34260.0,,,BP_01
35164.0,27664,1000,2,0,34320.0,,,BP_01
35188.0,32912,1000,2,0,34380.0,,,
35120.0,30948,1000,2,0,34440.0,,,
35132.0,31456,1000,2,0,34500.0,,,
35192.0,29840,1000,2,0,34560.0,,,
35288.0,38536,1000,2,0,34620.0,,,
35348.0,30428,1000,2,0,34680.0,,,
35368.0,29600,1000,2,0,34740.0,,,
35388.0,32904,1000,2,0,34800.0,,,
0.0,35140,1000,2,0,34860.0,,,
0.0,31888,1000,2,0,34920.0,,,
0.0,33596,1000,2,0,34980.0,,,
0.0,32668,1000,2,0,35040.0,,,
0.0,27240,1000,2,0,35100.0,,,
0.0,28240,1000,2,0,35160.0,,,
0.0,32124,1000,2,0,35220.0,,,blankScreen_02
0.0,27904,1000,2,0,35280.0,,,blankScreen_02
0.0,32960,1000,2,0,35340.0,,,blankScreen_02
0.0,35880,1000,2,0,35400.0,,,
