ECG_CH3,EDA_CH4,Freq,Channels,File,t,Task
33878,4321,1000,2,0,31320.0,
31335,4671,1000,2,0,31380.0,
33863,3935,1000,2,0,31440.0,
33511,3584,1000,2,0,31500.0,
33335,3355,1000,2,0,31560.0,
32623,3221,1000,2,0,31620.0,
32823,3208,1000,2,0,31680.0,
32183,3162,1000,2,0,31740.0,
31747,3211,1000,2,0,31800.0,
35119,3150,1000,2,0,31860.0,
35439,3152,1000,2,0,31920.0,
36023,3252,1000,2,0,31980.0,
32937,3247,1000,2,0,32040.0,
31955,3289,1000,2,0,32100.0,
28035,3513,1000,2,0,32160.0,
32399,3678,1000,2,0,32220.0,
55295,3570,1000,2,0,32280.0,
33899,3492,1000,2,0,32340.0,
31683,3396,1000,2,0,32400.0,
30795,3481,1000,2,0,32460.0,
29911,3637,1000,2,0,32520.0,
35655,3694,1000,2,0,32580.0,
32479,3703,1000,2,0,32640.0,
28023,3698,1000,2,0,32700.0,
32347,3714,1000,2,0,32760.0,
29883,3900,1000,2,0,32820.0,
33251,4372,1000,2,0,32880.0,
32535,5259,1000,2,0,32940.0,
29587,6463,1000,2,0,33000.0,
33599,6645,1000,2,0,33060.0,
31651,6309,1000,2,0,33120.0,
32671,5835,1000,2,0,33180.0,
29099,5154,1000,2,0,33240.0,
28823,6395,1000,2,0,33300.0,
33419,7901,1000,2,0,33360.0,
32299,8489,1000,2,0,33420.0,
33263,9066,1000,2,0,33480.0,
34931,9608,1000,2,0,33540.0,
31475,8547,1000,2,0,33600.0,
32791,7331,1000,2,0,33660.0,
32895,6321,1000,2,0,33720.0,
32822,6479,1000,2,0,33780.0,
28087,6005,1000,2,0,33840.0,
56759,6071,1000,2,0,33900.0,
34339,6278,1000,2,0,33960.0,
33199,5731,1000,2,0,34020.0,
30611,5204,1000,2,0,34080.0,
33899,5331,1000,2,0,34140.0,blankScreen_00
31215,5714,1000,2,0,34200.0,blankScreen_00
28795,6388,1000,2,0,34260.0,blankScreen_00
32975,6789,1000,2,0,34320.0,BP_00
32967,7131,1000,2,0,34380.0,BP_00
33883,7831,1000,2,0,34440.0,
32071,7637,1000,2,0,34500.0,
32951,6730,1000,2,0,34560.0,
32901,6669,1000,2,0,34620.0,
28251,9229,1000,2,0,34680.0,
29695,9106,1000,2,0,34740.0,
33251,7365,1000,2,0,34800.0,Exposure
32751,6103,1000,2,0,34860.0,Exposure
32795,5703,1000,2,0,34920.0,Exposure
32167,5563,1000,2,0,34980.0,Exposure
32951,5379,1000,2,0,35040.0,Exposure
31019,5209,1000,2,0,35100.0,passiveViewing_01
32493,5100,1000,2,0,35160.0,passiveViewing_01
33095,4887,1000,2,0,35220.0,passiveViewing_01
32967,4697,1000,2,0,35280.0,passiveViewing_01
35991,4594,1000,2,0,35340.0,passiveViewing_01
31990,4595,1000,2,0,35400.0,passiveViewing_01
33187,4525,1000,2,0,35460.0,passiveViewing_01
32699,4480,1000,2,0,35520.0,passiveViewing_01
32819,4422,1000,2,0,35580.0,passiveViewing_01
35465,4577,1000,2,0,35640.0,passiveViewing_01
32539,4713,1000,2,0,35700.0,passiveViewing_01
33119,4791,1000,2,0,35760.0,passiveViewing_01
32375,4639,1000,2,0,35820.0,passiveViewing_01
32823,4969,1000,2,0,35880.0,passiveViewing_01
28315,5181,1000,2,0,35940.0,passiveViewing_01
31131,5199,1000,2,0,36000.0,passiveViewing_01
32683,5016,1000,2,0,36060.0,
32903,5447,1000,2,0,36120.0,blankScreen_01
32693,5568,1000,2,0,36180.0,blankScreen_01
33291,5758,1000,2,0,36240.0,blankScreen_01
33068,5754,1000,2,0,36300.0,BP_01
33295,5554,1000,2,0,36360.0,
32806,5215,1000,2,0,36420.0,
32883,4932,1000,2,0,36480.0,
33451,4714,1000,2,0,36540.0,
32943,4587,1000,2,0,36600.0,
29399,4524,1000,2,0,36660.0,
32829,4476,1000,2,0,36720.0,
33071,4453,1000,2,0,36780.0,
31115,4396,1000,2,0,36840.0,
33153,4413,1000,2,0,36900.0,
29071,4686,1000,2,0,36960.0,
33287,5034,1000,2,0,37020.0,
32571,5009,1000,2,0,37080.0,
28571,5549,1000,2,0,37140.0,
28463,5559,1000,2,0,37200.0,
32151,6353,1000,2,0,37260.0,
33910,7291,1000,2,0,37320.0,
30031,10469,1000,2,0,37380.0,
31651,11175,1000,2,0,37440.0,blankScreen_02
28831,11473,1000,2,0,37500.0,blankScreen_02
32199,9606,1000,2,0,37560.0,blankScreen_02
30855,8153,1000,2,0,37620.0,BP_02
33303,7241,1000,2,0,37680.0,
33019,6537,1000,2,0,37740.0,
31247,6041,1000,2,0,37800.0,
34027,5669,1000,2,0,37860.0,
33169,5471,1000,2,0,37920.0,
39247,5427,1000,2,0,37980.0,
35867,5409,1000,2,0,38040.0,
28143,5261,1000,2,0,38100.0,
33375,5266,1000,2,0,38160.0,
31139,5147,1000,2,0,38220.0,
49199,4948,1000,2,0,38280.0,
33051,5065,1000,2,0,38340.0,
38619,5136,1000,2,0,38400.0,
33293,5352,1000,2,0,38460.0,
32071,5434,1000,2,0,38520.0,
31729,5381,1000,2,0,38580.0,
34095,5286,1000,2,0,38640.0,
32171,5257,1000,2,0,38700.0,
30495,5139,1000,2,0,38760.0,
32919,5113,1000,2,0,38820.0,
33119,4935,1000,2,0,38880.0,
39113,5268,1000,2,0,38940.0,blankScreen_03
32383,5713,1000,2,0,39000.0,blankScreen_03
31851,5686,1000,2,0,39060.0,blankScreen_03
37731,6271,1000,2,0,39120.0,BP_03
38287,6397,1000,2,0,39180.0,
31891,7059,1000,2,0,39240.0,
31957,7986,1000,2,0,39300.0,
33611,8099,1000,2,0,39360.0,
37031,7483,1000,2,0,39420.0,blankScreen_04
33255,7569,1000,2,0,39480.0,blankScreen_04
33410,7759,1000,2,0,39540.0,blankScreen_04
37071,7889,1000,2,0,39600.0,BP_04
34603,8106,1000,2,0,39660.0,BP_04
30387,8294,1000,2,0,39720.0,
33109,8025,1000,2,0,39780.0,
32911,7327,1000,2,0,39840.0,
30835,6829,1000,2,0,39900.0,
45411,7443,1000,2,0,39960.0,Exercise
39703,9910,1000,2,0,40020.0,Exercise
31419,11591,1000,2,0,40080.0,Exercise
30623,12523,1000,2,0,40140.0,Exercise
33386,12803,1000,2,0,40200.0,BP_05
34487,11997,1000,2,0,40260.0,blankScreen_05
31649,10319,1000,2,0,40320.0,blankScreen_05
30271,8971,1000,2,0,40380.0,blankScreen_05
29079,8227,1000,2,0,40440.0,BP_06
33587,7374,1000,2,0,40500.0,BP_06
31747,7092,1000,2,0,40560.0,
35431,6699,1000,2,0,40620.0,
28295,6398,1000,2,0,40680.0,
28543,6302,1000,2,0,40740.0,
31045,6155,1000,2,0,40800.0,
30627,6159,1000,2,0,40860.0,
27571,6307,1000,2,0,40920.0,
41443,6795,1000,2,0,40980.0,
28931,6991,1000,2,0,41040.0,
