TEMP_CH1,ECG_CH2,Freq,Channels,File,t,EDA_CH3,Task
35104,32724,1000,2,0,50580.0,,
35260,31516,1000,2,0,50640.0,,
35252,29392,1000,2,0,50700.0,,
35256,30758,1000,2,0,50760.0,,
35264,29964,1000,2,0,50820.0,,
35344,30156,1000,2,0,50880.0,,
35008,21304,1000,2,0,50940.0,,
35072,30852,1000,2,0,51000.0,,
35192,60320,1000,2,0,51060.0,,
35216,32096,1000,2,0,51120.0,,
35228,32072,1000,2,0,51180.0,,
35232,29183,1000,2,0,51240.0,,
35164,32100,1000,2,0,51300.0,,blankScreen_00
35128,31692,1000,2,0,51360.0,,blankScreen_00
35168,29832,1000,2,0,51420.0,,blankScreen_00
35012,32336,1000,2,0,51480.0,,BP_00
34782,34260,1000,2,0,51540.0,,BP_00
34928,33328,1000,2,0,51600.0,,
34940,32620,1000,2,0,51660.0,,
34976,33000,1000,2,0,51720.0,,Exposure
34936,31968,1000,2,0,51780.0,,
35012,31652,1000,2,0,51840.0,,passiveViewing_01
35072,31680,1000,2,0,51900.0,,passiveViewing_01
35124,32652,1000,2,0,51960.0,,passiveViewing_01
35132,32840,1000,2,0,52020.0,,passiveViewing_01
35144,20958,1000,2,0,52080.0,,passiveViewing_01
35160,34164,1000,2,0,52140.0,,passiveViewing_01
35184,32356,1000,2,0,52200.0,,passiveViewing_01
35188,30628,1000,2,0,52260.0,,passiveViewing_01
35164,32652,1000,2,0,52320.0,,passiveViewing_01
35148,57196,1000,2,0,52380.0,,passiveViewing_01
35132,31236,1000,2,0,52440.0,,passiveViewing_01
35220,30428,1000,2,0,52500.0,,passiveViewing_01
35160,63520,1000,2,0,52560.0,,passiveViewing_01
35212,30912,1000,2,0,52620.0,,passiveViewing_01
34984,29574,1000,2,0,52680.0,,blankScreen_01
35180,28586,1000,2,0,52740.0,,blankScreen_01
35208,32504,1000,2,0,52800.0,,blankScreen_01
35192,31576,1000,2,0,52860.0,,
35044,34108,1000,2,0,52920.0,,BP_01
35040,31972,1000,2,0,52980.0,,
35220,33004,1000,2,0,53040.0,,
35264,35240,1000,2,0,53100.0,,
35224,31393,1000,2,0,53160.0,,
35208,31394,1000,2,0,53220.0,,
35200,33202,1000,2,0,53280.0,,
35224,32376,1000,2,0,53340.0,,
35212,32692,1000,2,0,53400.0,,
35256,35580,1000,2,0,53460.0,,
35216,32872,1000,2,0,53520.0,,
35252,27196,1000,2,0,53580.0,,
35220,30496,1000,2,0,53640.0,,
35300,33156,1000,2,0,53700.0,,
35192,33380,1000,2,0,53760.0,,
35272,32620,1000,2,0,53820.0,,
35228,32336,1000,2,0,53880.0,,blankScreen_02
35168,32528,1000,2,0,53940.0,,blankScreen_02
35232,36068,1000,2,0,54000.0,,BP_02
35120,29504,1000,2,0,54060.0,,BP_02
35076,25484,1000,2,0,54120.0,,
35236,32570,1000,2,0,54180.0,,
35252,31276,1000,2,0,54240.0,,
35308,32468,1000,2,0,54300.0,,
35264,30750,1000,2,0,54360.0,,
35328,32060,1000,2,0,54420.0,,
35288,33828,1000,2,0,54480.0,,
35296,31972,1000,2,0,54540.0,,
35316,32438,1000,2,0,54600.0,,
35300,32992,1000,2,0,54660.0,,
35380,34340,1000,2,0,54720.0,,
35368,31632,1000,2,0,54780.0,,
35406,31504,1000,2,0,54840.0,,
35376,32472,1000,2,0,54900.0,,
35376,32782,1000,2,0,54960.0,,
35364,32556,1000,2,0,55020.0,,
35368,33060,1000,2,0,55080.0,,
35364,33592,1000,2,0,55140.0,,
35356,35892,1000,2,0,55200.0,,
35380,31676,1000,2,0,55260.0,,
35256,32672,1000,2,0,55320.0,,
35240,32232,1000,2,0,55380.0,,
35260,31876,1000,2,0,55440.0,,
35248,32548,1000,2,0,55500.0,,
35304,32524,1000,2,0,55560.0,,
35312,32016,1000,2,0,55620.0,,blankScreen_03
35288,33384,1000,2,0,55680.0,,blankScreen_03
35356,32364,1000,2,0,55740.0,,blankScreen_03
35316,33294,1000,2,0,55800.0,,
35052,31912,1000,2,0,55860.0,,BP_03
35020,33372,1000,2,0,55920.0,,BP_03
35128,31828,1000,2,0,55980.0,,
35300,33164,1000,2,0,56040.0,,
35340,30604,1000,2,0,56100.0,,
35144,31968,1000,2,0,56160.0,,
35228,30752,1000,3,1,56340.0,2155.0,blankScreen_04
35332,32502,1000,3,1,56400.0,1892.0,blankScreen_04
35336,32644,1000,3,1,56460.0,1832.0,
35152,34438,1000,3,1,56520.0,2537.0,BP_04
35044,31636,1000,3,1,56580.0,2958.0,
35204,31512,1000,3,1,56640.0,3398.0,
35294,32960,1000,3,1,56700.0,2866.0,
35320,34054,1000,3,1,56760.0,2733.0,
35098,35148,1000,3,1,56820.0,4944.0,Exercise
34936,35270,1000,3,1,56880.0,5370.0,Exercise
34732,34856,1000,3,1,56940.0,5354.0,Exercise
34664,33172,1000,3,1,57000.0,5560.0,Exercise
34550,19386,1000,3,1,57060.0,5841.0,Exercise
34460,28293,1000,3,1,57120.0,5853.0,Exercise
34420,36486,1000,3,1,57180.0,6208.0,Exercise
34388,59064,1000,3,1,57240.0,7002.0,Exercise
34416,38372,1000,3,1,57300.0,7818.0,Exercise
34368,31456,1000,3,1,57360.0,9030.0,Exercise
34308,21008,1000,3,1,57420.0,10311.0,Exercise
34436,34273,1000,3,1,57480.0,10362.0,Exercise
34628,34855,1000,3,1,57540.0,10890.0,Exercise
34768,38548,1000,3,1,57600.0,10449.0,BP_05
35396,24728,1000,3,1,57660.0,8877.0,BP_05
35508,33124,1000,3,1,57720.0,8769.0,blankScreen_05
35534,30012,1000,3,1,57780.0,8540.0,blankScreen_05
35476,31168,1000,3,1,57840.0,8100.0,blankScreen_05
35496,28226,1000,3,1,57900.0,8484.0,BP_06
35492,26168,1000,3,1,57960.0,8296.0,BP_06
35544,27468,1000,3,1,58020.0,9111.0,
35572,28149,1000,3,1,58080.0,9070.0,
35560,33448,1000,3,1,58140.0,8716.0,
35572,32272,1000,3,1,58200.0,9858.0,
35496,32596,1000,3,1,58260.0,8834.0,
34912,30412,1000,3,1,58320.0,20.0,
