TEMP_CH1,ECG_CH2,Freq,Channels,File,t,Task
34540,32636,1000,2,0,42960.0,
34688,32792,1000,2,0,43020.0,
34548,32044,1000,2,0,43080.0,
34752,32256,1000,2,0,43140.0,
34672,33428,1000,2,0,43200.0,
34768,32684,1000,2,0,43260.0,
34748,33336,1000,2,0,43320.0,
34780,35194,1000,2,0,43380.0,
34832,34332,1000,2,0,43440.0,
34804,34340,1000,2,0,43500.0,
34756,34796,1000,2,0,43560.0,
34776,32280,1000,2,0,43620.0,
34792,30964,1000,2,0,43680.0,
34744,32352,1000,2,0,43740.0,
34832,32344,1000,2,0,43800.0,
34800,31676,1000,2,0,43860.0,
34792,34588,1000,2,0,43920.0,
34772,28056,1000,2,0,43980.0,
34720,30424,1000,2,0,44040.0,
34764,31038,1000,2,0,44100.0,
34596,30888,1000,2,0,44160.0,
34696,34900,1000,2,0,44220.0,
34172,29284,1000,2,0,44280.0,
34428,32200,1000,2,0,44340.0,
34588,33516,1000,2,0,44400.0,
34680,34100,1000,2,0,44460.0,
34696,31672,1000,2,0,44520.0,
34720,30778,1000,2,0,44580.0,
34740,31896,1000,2,0,44640.0,
34764,31428,1000,2,0,44700.0,
34744,32348,1000,2,0,44760.0,
34736,33580,1000,2,0,44820.0,
34740,32552,1000,2,0,44880.0,
34724,31652,1000,2,0,44940.0,
34720,27336,1000,2,0,45000.0,
34720,33536,1000,2,0,45060.0,
34752,30176,1000,2,0,45120.0,BP_00
34564,30804,1000,2,0,45180.0,BP_00
34428,30072,1000,2,0,45240.0,
34448,30914,1000,2,0,45300.0,
34308,28376,1000,2,0,45360.0,
34476,33612,1000,2,0,45420.0,Exposure
34612,33040,1000,2,0,45480.0,Exposure
34728,32748,1000,2,0,45540.0,Exposure
34530,46388,1000,2,0,45600.0,
34556,32304,1000,2,0,45660.0,passiveViewing_01
34532,34516,1000,2,0,45720.0,passiveViewing_01
34588,32484,1000,2,0,45780.0,passiveViewing_01
