TEMP_CH1,ECG_CH2,EDA_CH3,Freq,Channels,File,t,Task
28624,33185,4147,1000,3,0,47700.0,
28724,31790,4693,1000,3,0,47760.0,
28452,40616,4865,1000,3,0,47820.0,
28484,31696,5166,1000,3,0,47880.0,
28702,32636,4883,1000,3,0,47940.0,
28624,34512,4330,1000,3,0,48000.0,
28676,32584,4024,1000,3,0,48060.0,
28620,31876,4692,1000,3,0,48120.0,
28654,32122,4832,1000,3,0,48180.0,
30652,32576,4642,1000,3,0,48240.0,
30116,34888,5244,1000,3,0,48300.0,
28960,30400,5060,1000,3,0,48360.0,
28864,32258,5473,1000,3,0,48420.0,
28655,30694,5262,1000,3,0,48480.0,
28652,32983,5237,1000,3,0,48540.0,
28794,30492,4852,1000,3,0,48600.0,
28273,32968,4949,1000,3,0,48660.0,
28228,33606,5222,1000,3,0,48720.0,
28144,32294,4481,1000,3,0,48780.0,
28976,30320,5270,1000,3,0,48840.0,
29012,31068,6259,1000,3,0,48900.0,
28972,32242,6149,1000,3,0,48960.0,
29025,31313,5777,1000,3,0,49020.0,
28956,34300,5608,1000,3,0,49080.0,
29000,31528,5296,1000,3,0,49140.0,
29016,32300,5510,1000,3,0,49200.0,
28920,35116,5511,1000,3,0,49260.0,
28932,34794,5397,1000,3,0,49320.0,
28916,31992,5214,1000,3,0,49380.0,
28928,32856,5228,1000,3,0,49440.0,
28948,34400,5069,1000,3,0,49500.0,
28916,34696,5110,1000,3,0,49560.0,
28888,41077,5042,1000,3,0,49620.0,
29116,33580,4956,1000,3,0,49680.0,
31162,34782,5862,1000,3,0,49740.0,
31200,34482,5344,1000,3,0,49800.0,blankScreen_00
30720,30304,5850,1000,3,0,49860.0,blankScreen_00
30580,33712,5567,1000,3,0,49920.0,blankScreen_00
30518,41320,6168,1000,3,0,49980.0,BP_00
30788,33046,6262,1000,3,0,50040.0,BP_00
31337,34532,6026,1000,3,0,50100.0,
30966,30736,5572,1000,3,0,50160.0,
31272,31906,5552,1000,3,0,50220.0,
31326,31864,5546,1000,3,0,50280.0,
31252,49204,5811,1000,3,0,50340.0,
31308,33960,6465,1000,3,0,50400.0,
30956,30856,5816,1000,3,0,50460.0,
32356,29676,7249,1000,3,0,50520.0,Exposure
30798,30964,6549,1000,3,0,50580.0,Exposure
30732,32654,7446,1000,3,0,50640.0,passiveViewing_01
