ECG_CH2,TEMP_CH4,Freq,Channels,File,t,EDA_CH3,Task
31608,35196,1000,2,0,45540.0,,
30668,34948,1000,2,0,45600.0,,
32432,35024,1000,2,0,45660.0,,
34650,35040,1000,2,0,45720.0,,
32152,35084,1000,2,0,45780.0,,
40984,35140,1000,2,0,45840.0,,
32192,35248,1000,2,0,45900.0,,
31828,35272,1000,2,0,45960.0,,
32760,35292,1000,2,0,46020.0,,
31134,35048,1000,2,0,46080.0,,
29356,35016,1000,2,0,46140.0,,
29204,35068,1000,2,0,46200.0,,
36132,35128,1000,2,0,46260.0,,
31376,35204,1000,2,0,46320.0,,
39532,35236,1000,2,0,46380.0,,
36304,35300,1000,2,0,46440.0,,
41544,35194,1000,2,0,46500.0,,
28216,34972,1000,2,0,46560.0,,
30152,34952,1000,2,0,46620.0,,
30944,34864,1000,2,0,46680.0,,
38362,34952,1000,2,0,46740.0,,
31524,35232,1000,2,0,46800.0,,
32000,35136,1000,2,0,46860.0,,
34140,35296,1000,2,0,46920.0,,blankScreen_00
35524,35384,1000,2,0,46980.0,,blankScreen_00
28788,35088,1000,2,0,47040.0,,blankScreen_00
29764,35508,1000,2,0,47100.0,,BP_00
28780,35388,1000,2,0,47160.0,,BP_00
37444,35194,1000,2,0,47220.0,,
30018,35100,1000,2,0,47280.0,,
9068,35044,1000,2,0,47340.0,,
28412,34956,1000,2,0,47400.0,,
41580,35064,1000,2,0,47460.0,,
25664,35056,1000,2,0,47520.0,,
42176,35060,1000,2,0,47580.0,,Saliva_00
31924,34908,1000,2,0,47640.0,,
32412,35312,1000,2,0,47700.0,,Exposure
30148,35080,1000,2,0,47760.0,,Exposure
31528,35066,1000,2,0,47820.0,,Exposure
33604,35376,1000,2,0,47880.0,,passiveViewing_01
36374,35852,1000,2,0,47940.0,,passiveViewing_01
37240,35468,1000,2,0,48000.0,,passiveViewing_01
28096,35656,1000,2,0,48060.0,,passiveViewing_01
27948,35400,1000,2,0,48120.0,,passiveViewing_01
10489,34972,1000,2,0,48180.0,,passiveViewing_01
32212,34764,1000,2,0,48240.0,,passiveViewing_01
29572,34968,1000,2,0,48300.0,,passiveViewing_01
36592,34800,1000,2,0,48360.0,,passiveViewing_01
30188,34980,1000,2,0,48420.0,,passiveViewing_01
31932,35076,1000,2,0,48480.0,,passiveViewing_01
34276,35124,1000,2,0,48540.0,,passiveViewing_01
35532,34892,1000,2,0,48600.0,,passiveViewing_01
36728,34820,1000,2,0,48660.0,,passiveViewing_01
32512,34992,1000,2,0,48720.0,,blankScreen_01
32768,34964,1000,2,0,48780.0,,blankScreen_01
31584,34956,1000,2,0,48840.0,,blankScreen_01
31928,35012,1000,2,0,48900.0,,
31842,34796,1000,2,0,48960.0,,BP_01
31640,34904,1000,2,0,49020.0,,
37036,34820,1000,2,0,49080.0,,
41492,34908,1000,2,0,49140.0,,
32424,35344,1000,2,0,49200.0,,
30692,35770,1000,2,0,49260.0,,
32212,35844,1000,2,0,49320.0,,
30136,35848,1000,2,0,49380.0,,
29272,35864,1000,2,0,49440.0,,
30420,35728,1000,2,0,49500.0,,
36844,35700,1000,2,0,49560.0,,
32384,35688,1000,2,0,49620.0,,
28256,35864,1000,2,0,49680.0,,
46796,35612,1000,2,0,49740.0,,
35672,35688,1000,2,0,49800.0,,
29744,35674,1000,2,0,49860.0,,
31662,35696,1000,2,0,49920.0,,blankScreen_02
32260,35848,1000,2,0,49980.0,,blankScreen_02
32364,35776,1000,2,0,50040.0,,blankScreen_02
40974,35692,1000,2,0,50100.0,,BP_02
29608,35728,1000,2,0,50160.0,,BP_02
29492,35764,1000,2,0,50220.0,,
