TEMP_CH1,ECG_CH2,EDA_CH3,Freq,Channels,File,t,EDA_CH1,CUSTOM/0.5/1.0/V_CH2,CUSTOM/0.5/1.0/V_CH3,Task
32628.0,31596.0,1672.0,1000,3,0,47820.0,,,,
32840.0,33553.0,2239.0,1000,3,0,47880.0,,,,
32334.0,32852.0,2175.0,1000,3,0,47940.0,,,,
32188.0,33592.0,1127.0,1000,3,0,48000.0,,,,
32128.0,31010.0,1960.0,1000,3,0,48060.0,,,,
32068.0,33884.0,1646.0,1000,3,0,48120.0,,,,
33753.0,32557.0,1539.0,1000,3,0,48180.0,,,,
33504.0,32016.0,1956.0,1000,3,0,48240.0,,,,
34376.0,32176.0,1918.0,1000,3,0,48300.0,,,,
34472.0,32686.0,1827.0,1000,3,0,48360.0,,,,
30764.0,32972.0,1764.0,1000,3,0,48420.0,,,,blankScreen_00
30528.0,33120.0,1411.0,1000,3,0,48480.0,,,,blankScreen_00
32272.0,32912.0,1576.0,1000,3,0,48540.0,,,,blankScreen_00
35148.0,30476.0,2311.0,1000,3,0,48600.0,,,,
35508.0,32420.0,2562.0,1000,3,0,48660.0,,,,
35834.0,31084.0,2632.0,1000,3,0,48720.0,,,,
35780.0,32648.0,2361.0,1000,3,0,48780.0,,,,
,,,1000,3,1,48960.0,34458.0,31948.0,3505.0,
,,,1000,3,1,49020.0,34596.0,33498.0,2200.0,
,,,1000,3,1,49080.0,34637.0,31304.0,1744.0,
,,,1000,3,1,49140.0,35376.0,33312.0,1762.0,
,,,1000,3,1,49200.0,35608.0,32144.0,1654.0,
,,,1000,3,1,49260.0,35614.0,32876.0,1663.0,
,,,1000,3,1,49320.0,35545.0,32640.0,1699.0,
,,,1000,3,1,49380.0,33564.0,30926.0,1698.0,
,,,1000,3,1,49440.0,34864.0,32136.0,1666.0,
,,,1000,3,1,49500.0,32996.0,31572.0,993.0,
,,,1000,3,1,49560.0,32908.0,31289.0,1398.0,
,,,1000,3,1,49620.0,34828.0,32856.0,1966.0,
,,,1000,3,1,49680.0,35300.0,32416.0,2228.0,
,,,1000,3,1,49740.0,35458.0,27200.0,2538.0,
,,,1000,3,1,49800.0,35480.0,30612.0,2994.0,
,,,1000,3,1,49860.0,35676.0,32432.0,3197.0,
,,,1000,3,1,49920.0,35600.0,31671.0,3317.0,
,,,1000,3,1,49980.0,35697.0,33588.0,3290.0,
,,,1000,3,1,50040.0,35756.0,33474.0,2964.0,
,,,1000,3,1,50100.0,35868.0,31232.0,3277.0,
,,,1000,3,1,50160.0,35724.0,30604.0,3397.0,
,,,1000,3,1,50220.0,35872.0,32801.0,3244.0,
,,,1000,3,1,50280.0,35912.0,35908.0,3216.0,
,,,1000,3,1,50340.0,36228.0,30670.0,3628.0,
,,,1000,3,1,50400.0,36144.0,33904.0,3318.0,
,,,1000,3,1,50460.0,35932.0,33189.0,3100.0,
,,,1000,3,1,50520.0,33136.0,31070.0,3285.0,
,,,1000,3,1,50580.0,32816.0,33016.0,2338.0,
,,,1000,3,1,50640.0,32836.0,32852.0,2268.0,
,,,1000,3,1,50700.0,35516.0,32932.0,2088.0,BP_00
,,,1000,3,1,50760.0,35632.0,30572.0,3075.0,
,,,1000,3,1,50820.0,36088.0,32408.0,2568.0,
,,,1000,3,1,50880.0,29634.0,32020.0,3179.0,
,,,1000,3,1,50940.0,30489.0,31024.0,2593.0,
,,,1000,3,1,51000.0,35224.0,32160.0,3812.0,
,,,1000,3,1,51060.0,31908.0,31190.0,3605.0,Exposure
,,,1000,3,1,51120.0,31472.0,31208.0,2255.0,Exposure
,,,1000,3,1,51180.0,31560.0,32976.0,1900.0,passiveViewing_01
,,,1000,3,1,51240.0,31552.0,34992.0,1558.0,passiveViewing_01
,,,1000,3,1,51300.0,31736.0,32464.0,1785.0,passiveViewing_01
,,,1000,3,1,51360.0,32316.0,33106.0,1277.0,passiveViewing_01
,,,1000,3,1,51420.0,31888.0,33460.0,1160.0,passiveViewing_01
,,,1000,3,1,51480.0,31840.0,30664.0,1245.0,passiveViewing_01
,,,1000,3,1,51540.0,31820.0,33020.0,1216.0,passiveViewing_01
,,,1000,3,1,51600.0,31892.0,33304.0,1478.0,passiveViewing_01
,,,1000,3,1,51660.0,31956.0,32648.0,1507.0,passiveViewing_01
,,,1000,3,1,51720.0,31954.0,32844.0,1747.0,passiveViewing_01
,,,1000,3,1,51780.0,32032.0,33445.0,1647.0,passiveViewing_01
,,,1000,3,1,51840.0,31932.0,32484.0,1561.0,passiveViewing_01
,,,1000,3,1,51900.0,31916.0,32634.0,844.0,passiveViewing_01
,,,1000,3,1,51960.0,31816.0,32812.0,976.0,passiveViewing_01
,,,1000,3,1,52020.0,31716.0,39044.0,986.0,passiveViewing_01
,,,1000,3,1,52080.0,31700.0,32268.0,955.0,passiveViewing_01
,,,1000,3,1,52140.0,31754.0,32058.0,939.0,passiveViewing_01
,,,1000,3,1,52200.0,32000.0,32033.0,1433.0,blankScreen_01
,,,1000,3,1,52260.0,32452.0,32892.0,1604.0,blankScreen_01
,,,1000,3,1,52320.0,32960.0,32214.0,249.0,blankScreen_01
,,,1000,3,1,52380.0,34944.0,32441.0,2060.0,BP_01
,,,1000,3,1,52440.0,35608.0,32580.0,2548.0,
,,,1000,3,1,52500.0,35920.0,32488.0,2609.0,
,,,1000,3,1,52560.0,35988.0,29704.0,2146.0,
,,,1000,3,1,52620.0,35696.0,32960.0,2136.0,
,,,1000,3,1,52680.0,35544.0,32516.0,1859.0,
,,,1000,3,1,52740.0,35460.0,32710.0,1643.0,
,,,1000,3,1,52800.0,35588.0,33888.0,1489.0,
,,,1000,3,1,52860.0,35850.0,32119.0,1515.0,
,,,1000,3,1,52920.0,35936.0,33080.0,1755.0,
,,,1000,3,1,52980.0,35706.0,32468.0,1744.0,
,,,1000,3,1,53040.0,35280.0,32738.0,1638.0,
,,,1000,3,1,53100.0,35192.0,33477.0,1254.0,
,,,1000,3,1,53160.0,35216.0,33070.0,1105.0,
,,,1000,3,1,53220.0,35177.0,33172.0,1012.0,
,,,1000,3,1,53280.0,34341.0,31807.0,1035.0,
,,,1000,3,1,53340.0,34161.0,31856.0,1501.0,blankScreen_02
,,,1000,3,1,53400.0,34380.0,33500.0,2634.0,blankScreen_02
,,,1000,3,1,53460.0,34593.0,32962.0,2694.0,blankScreen_02
,,,1000,3,1,53520.0,34532.0,34569.0,2941.0,BP_02
,,,1000,3,1,53580.0,31701.0,32994.0,3411.0,
,,,1000,3,1,53640.0,30604.0,33040.0,3247.0,
,,,1000,3,1,53700.0,31900.0,33824.0,2859.0,
,,,1000,3,1,53760.0,32720.0,31822.0,2532.0,
,,,1000,3,1,53820.0,31102.0,30964.0,2370.0,
,,,1000,3,1,53880.0,32898.0,33522.0,2318.0,
,,,1000,3,1,53940.0,32682.0,32476.0,2487.0,
,,,1000,3,1,54000.0,32802.0,33422.0,2332.0,
,,,1000,3,1,54060.0,32928.0,32178.0,2169.0,
,,,1000,3,1,54120.0,32880.0,32688.0,1955.0,
,,,1000,3,1,54180.0,32848.0,31542.0,2330.0,
,,,1000,3,1,54240.0,32832.0,32784.0,2383.0,
,,,1000,3,1,54300.0,33088.0,47712.0,2101.0,
,,,1000,3,1,54360.0,33066.0,33460.0,1831.0,
,,,1000,3,1,54420.0,33002.0,34930.0,1351.0,
,,,1000,3,1,54480.0,33194.0,31260.0,1405.0,
,,,1000,3,1,54540.0,31136.0,33968.0,2971.0,
,,,1000,3,1,54600.0,30420.0,32872.0,4368.0,
,,,1000,3,1,54660.0,31288.0,32720.0,4354.0,blankScreen_03
,,,1000,3,1,54720.0,32100.0,26881.0,3955.0,blankScreen_03
,,,1000,3,1,54780.0,31576.0,32270.0,4192.0,blankScreen_03
,,,1000,3,1,54840.0,33288.0,31752.0,3780.0,BP_03
,,,1000,3,1,54900.0,31812.0,32088.0,4447.0,BP_03
,,,1000,3,1,54960.0,32336.0,30960.0,4622.0,
,,,1000,3,1,55020.0,32740.0,32036.0,4514.0,
,,,1000,3,1,55080.0,32148.0,32362.0,4346.0,
,,,1000,3,1,55140.0,32316.0,36230.0,4971.0,blankScreen_04
,,,1000,3,1,55200.0,33616.0,33340.0,4498.0,blankScreen_04
,,,1000,3,1,55260.0,33644.0,35556.0,3682.0,blankScreen_04
,,,1000,3,1,55320.0,33000.0,32614.0,3802.0,
,,,1000,3,1,55380.0,32984.0,32064.0,4438.0,BP_04
,,,1000,3,1,55440.0,35136.0,47694.0,3374.0,
,,,1000,3,1,55500.0,35848.0,32638.0,5119.0,
,,,1000,3,1,55560.0,36040.0,31518.0,4916.0,
,,,1000,3,1,55620.0,36113.0,32564.0,5172.0,Exercise
,,,1000,3,1,55680.0,36524.0,37572.0,4729.0,Exercise
,,,1000,3,1,55740.0,36192.0,34708.0,4952.0,Exercise
,,,1000,3,1,55800.0,36064.0,31980.0,5227.0,Exercise
,,,1000,3,1,55860.0,35980.0,21236.0,5019.0,Exercise
,,,1000,3,1,55920.0,35796.0,31661.0,5674.0,Exercise
,,,1000,3,1,55980.0,36132.0,32900.0,3632.0,BP_05
,,,1000,3,1,56040.0,35304.0,34880.0,5310.0,BP_05
,,,1000,3,1,56100.0,34212.0,33852.0,4932.0,blankScreen_05
,,,1000,3,1,56160.0,33730.0,32648.0,5252.0,blankScreen_05
,,,1000,3,1,56220.0,33316.0,31548.0,5736.0,blankScreen_05
,,,1000,3,1,56280.0,34032.0,31292.0,3709.0,BP_06
,,,1000,3,1,56340.0,34536.0,38680.0,5543.0,
,,,1000,3,1,56400.0,34792.0,35900.0,6122.0,
,,,1000,3,1,56460.0,34912.0,34116.0,6275.0,
,,,1000,3,1,56520.0,34981.0,33116.0,4981.0,
,,,1000,3,1,56580.0,34908.0,29584.0,5773.0,
,,,1000,3,1,56640.0,34744.0,30286.0,5127.0,
,,,1000,3,1,56700.0,34868.0,30612.0,4898.0,
,,,1000,3,1,56760.0,34776.0,32774.0,6210.0,
,,,1000,3,1,56820.0,0.0,0.0,0.0,
