ECG_CH2,TEMP_CH4,Freq,Channels,File,t,EDA_CH3,Task
34656,37716,1000,2,0,29940.0,,
32826,37712,1000,2,0,30000.0,,
33068,37716,1000,2,0,30060.0,,
32908,37586,1000,2,0,30120.0,,
31904,37816,1000,2,0,30180.0,,
32024,38090,1000,2,0,30240.0,,
31732,38164,1000,2,0,30300.0,,
34284,37921,1000,2,0,30360.0,,
33684,37932,1000,2,0,30420.0,,
32900,37768,1000,2,0,30480.0,,
37648,37880,1000,2,0,30540.0,,
30220,37860,1000,2,0,30600.0,,
32168,38012,1000,2,0,30660.0,,
32240,38132,1000,2,0,30720.0,,
26084,37968,1000,2,0,30780.0,,
32448,38012,1000,2,0,30840.0,,
32208,38168,1000,2,0,30900.0,,
32708,38096,1000,2,0,30960.0,,
32936,37904,1000,2,0,31020.0,,
32432,37752,1000,2,0,31080.0,,
31808,37756,1000,2,0,31140.0,,
25892,38028,1000,2,0,31200.0,,
32696,38000,1000,2,0,31260.0,,
32868,38012,1000,2,0,31320.0,,
34284,38004,1000,2,0,31380.0,,
32928,37836,1000,2,0,31440.0,,
32908,37896,1000,2,0,31500.0,,
32258,37824,1000,2,0,31560.0,,
30330,37776,1000,2,0,31620.0,,
32072,37906,1000,2,0,31680.0,,
32268,37952,1000,2,0,31740.0,,
31684,37992,1000,2,0,31800.0,,blankScreen_00
54992,37744,1000,2,0,31860.0,,blankScreen_00
32768,37840,1000,2,0,31920.0,,blankScreen_00
32304,37824,1000,2,0,31980.0,,BP_00
43628,37988,1000,2,0,32040.0,,BP_00
34088,37996,1000,2,0,32100.0,,
33548,37812,1000,2,0,32160.0,,
32416,37756,1000,2,0,32220.0,,
28988,37828,1000,2,0,32280.0,,
29600,37804,1000,2,0,32340.0,,
34428,37796,1000,2,0,32400.0,,
32696,37728,1000,2,0,32460.0,,
31172,37728,1000,2,0,32520.0,,
32128,37624,1000,2,0,32580.0,,
32420,37868,1000,2,0,32640.0,,Exposure
31760,37816,1000,2,0,32700.0,,Exposure
46000,37680,1000,2,0,32760.0,,Exposure
31776,37672,1000,2,0,32820.0,,Exposure
31792,37492,1000,2,0,32880.0,,passiveViewing_01
33440,37572,1000,2,0,32940.0,,passiveViewing_01
33592,37464,1000,2,0,33000.0,,passiveViewing_01
25394,37596,1000,2,0,33060.0,,passiveViewing_01
34172,37664,1000,2,0,33120.0,,passiveViewing_01
32404,37612,1000,2,0,33180.0,,passiveViewing_01
31616,37484,1000,2,0,33240.0,,passiveViewing_01
34172,37624,1000,2,0,33300.0,,passiveViewing_01
33576,37576,1000,2,0,33360.0,,passiveViewing_01
31068,37592,1000,2,0,33420.0,,passiveViewing_01
32428,37436,1000,2,0,33480.0,,passiveViewing_01
30452,37566,1000,2,0,33540.0,,passiveViewing_01
30888,37296,1000,2,0,33600.0,,passiveViewing_01
32200,37404,1000,2,0,33660.0,,passiveViewing_01
34928,37276,1000,2,0,33720.0,,passiveViewing_01
34408,37452,1000,2,0,33780.0,,blankScreen_01
32384,37464,1000,2,0,33840.0,,blankScreen_01
31488,37428,1000,2,0,33900.0,,blankScreen_01
31288,37412,1000,2,0,33960.0,,BP_01
57592,37072,1000,2,0,34020.0,,BP_01
30362,37332,1000,2,0,34080.0,,
32720,37220,1000,2,0,34140.0,,
53896,37160,1000,2,0,34200.0,,
31984,37532,1000,2,0,34260.0,,
32956,37780,1000,2,0,34320.0,,
33256,37728,1000,2,0,34380.0,,
32256,37816,1000,2,0,34440.0,,
32900,37696,1000,2,0,34500.0,,
33660,37548,1000,2,0,34560.0,,
32656,37732,1000,2,0,34620.0,,
35368,37648,1000,2,0,34680.0,,
34188,37600,1000,2,0,34740.0,,
