TEMP_CH1,ECG_CH2,EDA_CH3,Freq,Channels,File,t,Task
31304,32668,0,1000,3,0,44820.0,
31328,31452,0,1000,3,0,44880.0,
31248,28204,0,1000,3,0,44940.0,
31192,31692,0,1000,3,0,45000.0,
31214,31596,0,1000,3,0,45060.0,
31448,31808,0,1000,3,0,45120.0,
30986,30214,0,1000,3,0,45180.0,
31112,30836,0,1000,3,0,45240.0,
31396,31044,0,1000,3,0,45300.0,
31304,34116,0,1000,3,0,45360.0,
31224,35012,0,1000,3,0,45420.0,
31168,49824,0,1000,3,0,45480.0,
31000,30576,0,1000,3,0,45540.0,
30932,31944,0,1000,3,0,45600.0,
30836,30168,0,1000,3,0,45660.0,
30796,34484,0,1000,3,0,45720.0,
30692,30592,0,1000,3,0,45780.0,blankScreen_00
30712,32948,0,1000,3,0,45840.0,blankScreen_00
31324,31064,0,1000,3,0,45900.0,blankScreen_00
31144,32624,0,1000,3,0,45960.0,BP_00
30424,32072,0,1000,3,0,46020.0,BP_00
30092,31812,0,1000,3,0,46080.0,
30592,30620,0,1000,3,0,46140.0,
29780,35668,0,1000,3,0,46200.0,
29876,32640,0,1000,3,0,46260.0,
29720,29756,0,1000,3,0,46320.0,Exposure
30032,31524,0,1000,3,0,46380.0,passiveViewing_01
30556,33436,0,1000,3,0,46440.0,passiveViewing_01
30532,29184,0,1000,3,0,46500.0,passiveViewing_01
31440,33228,0,1000,3,0,46560.0,passiveViewing_01
32132,34318,0,1000,3,0,46620.0,passiveViewing_01
29952,31512,0,1000,3,0,46680.0,passiveViewing_01
30152,33572,0,1000,3,0,46740.0,passiveViewing_01
29708,31844,0,1000,3,0,46800.0,passiveViewing_01
29644,33496,0,1000,3,0,46860.0,passiveViewing_01
29724,29196,0,1000,3,0,46920.0,passiveViewing_01
29888,32768,0,1000,3,0,46980.0,passiveViewing_01
30264,34724,0,1000,3,0,47040.0,passiveViewing_01
30604,30676,0,1000,3,0,47100.0,passiveViewing_01
30224,32504,0,1000,3,0,47160.0,passiveViewing_01
30032,34696,0,1000,3,0,47220.0,passiveViewing_01
30020,32352,0,1000,3,0,47280.0,blankScreen_01
30020,31696,0,1000,3,0,47340.0,blankScreen_01
30136,32704,0,1000,3,0,47400.0,blankScreen_01
30012,32214,0,1000,3,0,47460.0,
29118,35012,0,1000,3,0,47520.0,BP_01
29672,32516,0,1000,3,0,47580.0,
29784,31936,0,1000,3,0,47640.0,
29552,34544,0,1000,3,0,47700.0,
29296,29502,0,1000,3,0,47760.0,
29396,31700,0,1000,3,0,47820.0,
29808,32812,0,1000,3,0,47880.0,
29436,33740,0,1000,3,0,47940.0,
29252,30656,0,1000,3,0,48000.0,
28922,34024,0,1000,3,0,48060.0,
29120,30152,0,1000,3,0,48120.0,
32324,35000,0,1000,3,0,48180.0,
32712,32596,0,1000,3,0,48240.0,
31344,30772,0,1000,3,0,48300.0,
30700,28944,0,1000,3,0,48360.0,
30360,33608,0,1000,3,0,48420.0,blankScreen_02
30140,31208,0,1000,3,0,48480.0,blankScreen_02
30180,31644,0,1000,3,0,48540.0,blankScreen_02
29980,29964,0,1000,3,0,48600.0,BP_02
29256,35038,0,1000,3,0,48660.0,BP_02
31216,33612,0,1000,3,0,48720.0,
31672,32304,0,1000,3,0,48780.0,
30836,31772,0,1000,3,0,48840.0,
30468,33820,0,1000,3,0,48900.0,
29584,51912,0,1000,3,0,48960.0,
29512,29736,0,1000,3,0,49020.0,
29272,33392,0,1000,3,0,49080.0,
28924,25796,0,1000,3,0,49140.0,
28792,31288,0,1000,3,0,49200.0,
28740,28776,0,1000,3,0,49260.0,
28708,33998,0,1000,3,0,49320.0,
28688,34388,0,1000,3,0,49380.0,
28872,32132,0,1000,3,0,49440.0,
29352,27780,0,1000,3,0,49500.0,
29440,33904,0,1000,3,0,49560.0,
29448,31456,0,1000,3,0,49620.0,
29324,33992,0,1000,3,0,49680.0,
29848,37536,0,1000,3,0,49740.0,
28976,34324,0,1000,3,0,49800.0,
29028,29088,0,1000,3,0,49860.0,
30140,27396,0,1000,3,0,49920.0,
30408,29152,0,1000,3,0,49980.0,blankScreen_03
30200,34846,0,1000,3,0,50040.0,blankScreen_03
30088,31820,0,1000,3,0,50100.0,blankScreen_03
30112,30458,0,1000,3,0,50160.0,
29588,34328,0,1000,3,0,50220.0,BP_03
30264,32152,0,1000,3,0,50280.0,
30372,31552,0,1000,3,0,50340.0,
30096,33264,0,1000,3,0,50400.0,
29972,32220,0,1000,3,0,50460.0,
32628,32136,5167,1000,3,1,50700.0,blankScreen_04
32884,32120,4847,1000,3,1,50760.0,blankScreen_04
32652,33848,3175,1000,3,1,50820.0,blankScreen_04
31052,33608,5283,1000,3,1,50880.0,BP_04
31526,30582,6770,1000,3,1,50940.0,
32744,31780,6900,1000,3,1,51000.0,
32068,33148,6740,1000,3,1,51060.0,
32094,34164,6505,1000,3,1,51120.0,
32984,32190,7140,1000,3,1,51180.0,Exercise
33828,33121,7748,1000,3,1,51240.0,Exercise
33912,29564,8593,1000,3,1,51300.0,Exercise
32868,32222,9886,1000,3,1,51360.0,BP_05
31876,34200,9000,1000,3,1,51420.0,BP_05
33012,30838,9070,1000,3,1,51480.0,blankScreen_05
33212,32548,8757,1000,3,1,51540.0,blankScreen_05
33085,32108,8758,1000,3,1,51600.0,blankScreen_05
34056,31160,8382,1000,3,1,51660.0,BP_06
33112,64452,8884,1000,3,1,51720.0,
30144,29780,8332,1000,3,1,51780.0,
29936,28844,7524,1000,3,1,51840.0,
30584,32504,8298,1000,3,1,51900.0,
32398,30748,8693,1000,3,1,51960.0,
