ECG_CH3,Freq,Channels,File,t,EDA_CH4,Task
34103,1000,1,0,48360.0,,
35471,1000,1,0,48420.0,,
33819,1000,1,0,48480.0,,
33479,1000,1,0,48540.0,,
37459,1000,1,0,48600.0,,
29307,1000,1,0,48660.0,,
32863,1000,1,0,48720.0,,
34031,1000,1,0,48780.0,,
34015,1000,1,0,48840.0,,
31107,1000,1,0,48900.0,,
33907,1000,1,0,48960.0,,
32297,1000,1,0,49020.0,,
29323,1000,1,0,49080.0,,
30315,1000,1,0,49140.0,,
34051,1000,1,0,49200.0,,
33715,1000,1,0,49260.0,,
29347,1000,1,0,49320.0,,
29783,1000,1,0,49380.0,,
31147,1000,1,0,49440.0,,
31139,1000,1,0,49500.0,,
32964,1000,1,0,49560.0,,
31403,1000,1,0,49620.0,,
34455,1000,1,0,49680.0,,
32546,1000,1,0,49740.0,,
31483,1000,1,0,49800.0,,
29663,1000,1,0,49860.0,,
31583,1000,1,0,49920.0,,blankScreen_00
33311,1000,1,0,49980.0,,blankScreen_00
32267,1000,1,0,50040.0,,blankScreen_00
32179,1000,1,0,50100.0,,BP_00
35143,1000,1,0,50160.0,,
33603,1000,1,0,50220.0,,
31475,1000,1,0,50280.0,,Exposure
31071,1000,1,0,50340.0,,Exposure
33019,1000,1,0,50400.0,,passiveViewing_01
35807,1000,1,0,50460.0,,passiveViewing_01
32595,1000,1,0,50520.0,,passiveViewing_01
34853,1000,1,0,50580.0,,passiveViewing_01
33395,1000,1,0,50640.0,,passiveViewing_01
33195,1000,1,0,50700.0,,passiveViewing_01
36863,1000,1,0,50760.0,,passiveViewing_01
32611,1000,1,0,50820.0,,passiveViewing_01
32155,1000,1,0,50880.0,,passiveViewing_01
35383,1000,1,0,50940.0,,passiveViewing_01
32151,1000,1,0,51000.0,,passiveViewing_01
33319,1000,1,0,51060.0,,passiveViewing_01
31167,1000,1,0,51120.0,,passiveViewing_01
34623,1000,1,0,51180.0,,passiveViewing_01
30815,1000,1,0,51240.0,,passiveViewing_01
31783,1000,1,0,51300.0,,blankScreen_01
33095,1000,1,0,51360.0,,blankScreen_01
31111,1000,1,0,51420.0,,blankScreen_01
32079,1000,1,0,51480.0,,BP_01
34031,1000,1,0,51540.0,,
32159,1000,1,0,51600.0,,
33899,1000,1,0,51660.0,,
30795,1000,1,0,51720.0,,
33599,1000,1,0,51780.0,,
31671,1000,1,0,51840.0,,
33011,1000,1,0,51900.0,,
33749,1000,1,0,51960.0,,
26251,1000,1,0,52020.0,,
34541,1000,1,0,52080.0,,
31647,1000,1,0,52140.0,,
28635,1000,1,0,52200.0,,
38295,1000,1,0,52260.0,,
26839,1000,1,0,52320.0,,
31863,1000,1,0,52380.0,,
31207,1000,1,0,52440.0,,
32767,1000,1,0,52500.0,,blankScreen_02
33335,1000,1,0,52560.0,,blankScreen_02
33435,1000,1,0,52620.0,,blankScreen_02
33547,1000,1,0,52680.0,,BP_02
34043,1000,1,0,52740.0,,
33429,1000,1,0,52800.0,,
33515,1000,1,0,52860.0,,
34135,1000,1,0,52920.0,,
29604,1000,1,0,52980.0,,
32967,1000,1,0,53040.0,,
33631,1000,1,0,53100.0,,
33223,1000,1,0,53160.0,,
33911,1000,1,0,53220.0,,
33723,1000,1,0,53280.0,,
32773,1000,1,0,53340.0,,
31703,1000,1,0,53400.0,,
31335,1000,1,0,53460.0,,
33191,1000,1,0,53520.0,,
31254,1000,1,0,53580.0,,
32571,1000,1,0,53640.0,,
34403,1000,1,0,53700.0,,
31687,1000,1,0,53760.0,,
31425,1000,1,0,53820.0,,
31515,1000,1,0,53880.0,,
30319,1000,1,0,53940.0,,
29375,1000,1,0,54000.0,,
33547,1000,1,0,54060.0,,
33451,1000,1,0,54120.0,,
34379,1000,1,0,54180.0,,
35023,1000,1,0,54240.0,,
32783,1000,1,0,54300.0,,
30231,1000,1,0,54360.0,,
31051,1000,1,0,54420.0,,blankScreen_03
32845,1000,1,0,54480.0,,blankScreen_03
31099,1000,1,0,54540.0,,blankScreen_03
32839,1000,1,0,54600.0,,
40167,1000,1,0,54660.0,,BP_03
31703,1000,1,0,54720.0,,
39083,1000,1,0,54780.0,,
31411,1000,1,0,54840.0,,
33039,1000,1,0,54900.0,,
33145,1000,2,1,55260.0,282.0,blankScreen_04
33323,1000,2,1,55320.0,315.0,blankScreen_04
33027,1000,2,1,55380.0,305.0,BP_04
33759,1000,2,1,55440.0,315.0,
32371,1000,2,1,55500.0,372.0,
31535,1000,2,1,55560.0,363.0,
35003,1000,2,1,55620.0,363.0,
34295,1000,2,1,55680.0,471.0,Exercise
29975,1000,2,1,55740.0,498.0,Exercise
33339,1000,2,1,55800.0,463.0,Exercise
35134,1000,2,1,55860.0,507.0,Exercise
28263,1000,2,1,55920.0,497.0,Exercise
34369,1000,2,1,55980.0,531.0,Exercise
30343,1000,2,1,56040.0,564.0,Exercise
33779,1000,2,1,56100.0,527.0,BP_05
32387,1000,2,1,56160.0,662.0,BP_05
26143,1000,2,1,56220.0,659.0,blankScreen_05
32591,1000,2,1,56280.0,656.0,blankScreen_05
29951,1000,2,1,56340.0,618.0,blankScreen_05
30587,1000,2,1,56400.0,573.0,BP_06
34159,1000,2,1,56460.0,550.0,BP_06
32811,1000,2,1,56520.0,572.0,
33743,1000,2,1,56580.0,605.0,
34287,1000,2,1,56640.0,637.0,
33615,1000,2,1,56700.0,678.0,
32687,1000,2,1,56760.0,657.0,
31619,1000,2,1,56820.0,658.0,
