Participant,Version,Date,Session,OpenSignalsData,Complete,Status,Channels,Overflow,Duration,PsychoPy,PsychoPyComplete,Errors
093G,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Missing Signals: blankScreen_00 - KeyError('t');Missing Signals: BP_00 - KeyError('t');Missing Signals: Saliva_00 - KeyError('t');Missing Signals: Exposure - KeyError('t');Missing Signals: passiveViewing_01 - KeyError('t');Missing Signals: blankScreen_01 - KeyError('t');Missing Signals: BP_01 - KeyError('t');Missing Signals: blankScreen_02 - KeyError('t');Missing Signals: BP_02 - KeyError('t');Missing Signals: blankScreen_03 - KeyError('t');Missing Signals: BP_03 - KeyError('t');Missing Signals: blankScreen_04 - KeyError('t');Missing Signals: BP_04 - KeyError('t');Missing Signals: Exercise - KeyError('t');Missing Signals: BP_05 - KeyError('t');Missing Signals: blankScreen_05 - KeyError('t');Missing Signals: BP_06 - KeyError('t')
093H,0.0,2025-6-2,,1.0,1.0,98.45241112284408,2.190849925519492,0.0,,1.0,0.0,Failed OpenSignals: ./Analysis/Raw/Participants/093H/SCH_opensignals_BC33ACABB3C8_2025-06-02_10-48-01.txt - ValueError('cannot convert float NaN to integer')
093I,1.1,2025-6-9,,1.0,1.0,100.0,3.0,0.0,9589.758000000002,1.0,0.0,
095G,1.1,2025-5-28,,1.0,1.0,98.5854189336235,2.2258133357590584,0.0,8926.538999999997,1.0,0.0,
095H,1.1,2025-6-4,,1.0,1.0,98.12192118226602,2.233093575611308,0.0,7988.618000000002,1.0,0.0,
095I,1.1,2025-6-11,,1.0,1.0,100.0,3.0,0.0,9743.055,1.0,0.0,
096G,1.1,2025-5-26,,1.0,1.0,98.55786141399928,2.209516215720312,0.0,7853.519,1.0,0.0,
096H,1.1,2025-6-2,,1.0,1.0,97.33183013904548,2.195219156732197,0.0,7074.524000000005,1.0,0.0,
096I,1.1,2025-6-9,,1.0,1.0,100.0,3.0,0.0,9411.951,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
098G,1.1,2025-5-27,,1.0,1.0,97.71557271557272,2.187112986656763,0.0,8239.378000000004,1.0,0.0,
