Participant,Date,Status,PsychoPy,PsychoPyComplete,Task,Files,Placed,Processed,Errors
093H,2025-6-2,98.45241112284408,1,0,manualCapture,1,1,6,
093I,2025-6-9,100.0,1,0,manualCapture,1,1,6,
093I,2025-6-9,100.0,1,0,Temp,1,6,6,
093I,2025-6-9,100.0,1,0,BMS,4,4,4,
093I,2025-6-9,100.0,1,0,PSQI,1,1,7,
093I,2025-6-9,100.0,1,0,MAIA,1,1,1,
093I,2025-6-9,100.0,1,0,IFIS,1,1,1,
093I,2025-6-9,100.0,1,0,caffeine,1,1,1,
093I,2025-6-9,100.0,1,0,STAI,1,1,1,
093I,2025-6-9,100.0,1,0,IAAS,2,2,2,
093I,2025-6-9,100.0,1,0,Cycle,1,1,1,
093I,2025-6-9,100.0,1,0,simpleRT,2,2,2,
093I,2025-6-9,100.0,1,0,ECG,1,9,10,
093I,2025-6-9,100.0,1,0,EDA,1,9,10,
095G,2025-5-28,98.5854189336235,1,0,manualCapture,1,1,6,
095G,2025-5-28,98.5854189336235,1,0,Temp,1,6,6,
095G,2025-5-28,98.5854189336235,1,0,BMS,3,3,3,
095G,2025-5-28,98.5854189336235,1,0,PSQI,1,1,7,
095G,2025-5-28,98.5854189336235,1,0,MAIA,1,1,1,
095G,2025-5-28,98.5854189336235,1,0,IFIS,1,1,1,
095G,2025-5-28,98.5854189336235,1,0,caffeine,1,1,1,
095G,2025-5-28,98.5854189336235,1,0,STAI,1,1,1,
095G,2025-5-28,98.5854189336235,1,0,IAAS,2,2,2,
095G,2025-5-28,98.5854189336235,1,0,Cycle,1,1,1,
095G,2025-5-28,98.5854189336235,1,0,simpleRT,2,2,2,
095G,2025-5-28,98.5854189336235,1,0,ECG,1,9,12,
095G,2025-5-28,98.5854189336235,1,0,EDA,1,5,8,Failed EDA on blankScreen_00;IndexError('index 0 is out of bounds for axis 0 with size 0');Failed EDA on blankScreen_01;IndexError('index 0 is out of bounds for axis 0 with size 0');Failed EDA on blankScreen_02;IndexError('index 0 is out of bounds for axis 0 with size 0');Failed EDA on blankScreen_03;IndexError('index 0 is out of bounds for axis 0 with size 0')
095H,2025-6-4,98.12192118226602,1,0,manualCapture,1,1,6,
095H,2025-6-4,98.12192118226602,1,0,Temp,1,6,6,
095H,2025-6-4,98.12192118226602,1,0,BMS,3,3,3,
095H,2025-6-4,98.12192118226602,1,0,PSQI,1,1,7,
095H,2025-6-4,98.12192118226602,1,0,MAIA,1,1,1,
095H,2025-6-4,98.12192118226602,1,0,IFIS,1,1,1,
095H,2025-6-4,98.12192118226602,1,0,caffeine,1,1,1,
095H,2025-6-4,98.12192118226602,1,0,STAI,1,1,1,
095H,2025-6-4,98.12192118226602,1,0,IAAS,2,2,2,
095H,2025-6-4,98.12192118226602,1,0,Cycle,1,1,1,
095H,2025-6-4,98.12192118226602,1,0,simpleRT,2,2,2,
095H,2025-6-4,98.12192118226602,1,0,ECG,1,9,12,
095H,2025-6-4,98.12192118226602,1,0,EDA,1,5,8,Failed EDA on blankScreen_00;IndexError('index 0 is out of bounds for axis 0 with size 0');Failed EDA on blankScreen_01;IndexError('index 0 is out of bounds for axis 0 with size 0');Failed EDA on blankScreen_02;IndexError('index 0 is out of bounds for axis 0 with size 0');Failed EDA on blankScreen_03;IndexError('index 0 is out of bounds for axis 0 with size 0')
095I,2025-6-11,100.0,1,0,manualCapture,1,1,6,
095I,2025-6-11,100.0,1,0,Temp,1,6,6,
095I,2025-6-11,100.0,1,0,BMS,4,4,4,
095I,2025-6-11,100.0,1,0,PSQI,1,1,7,
095I,2025-6-11,100.0,1,0,MAIA,1,1,1,
095I,2025-6-11,100.0,1,0,IFIS,1,1,1,
095I,2025-6-11,100.0,1,0,caffeine,1,1,1,
095I,2025-6-11,100.0,1,0,STAI,1,1,1,
095I,2025-6-11,100.0,1,0,IAAS,2,2,2,
095I,2025-6-11,100.0,1,0,Cycle,1,1,1,
095I,2025-6-11,100.0,1,0,simpleRT,2,2,2,
095I,2025-6-11,100.0,1,0,ECG,1,9,11,
095I,2025-6-11,100.0,1,0,EDA,1,9,11,
096G,2025-5-26,98.55786141399928,1,0,manualCapture,1,1,6,
096G,2025-5-26,98.55786141399928,1,0,Temp,1,6,6,
096G,2025-5-26,98.55786141399928,1,0,BMS,3,3,3,
096G,2025-5-26,98.55786141399928,1,0,PSQI,1,1,7,
096G,2025-5-26,98.55786141399928,1,0,MAIA,1,1,1,
096G,2025-5-26,98.55786141399928,1,0,IFIS,1,1,1,
096G,2025-5-26,98.55786141399928,1,0,caffeine,1,1,1,
096G,2025-5-26,98.55786141399928,1,0,STAI,1,1,1,
096G,2025-5-26,98.55786141399928,1,0,IAAS,2,2,2,
096G,2025-5-26,98.55786141399928,1,0,Cycle,1,1,1,
096G,2025-5-26,98.55786141399928,1,0,simpleRT,2,2,2,
096G,2025-5-26,98.55786141399928,1,0,ECG,1,9,9,
